Size,Count
1,8.629523289855838
2,7.390000050301857
3,6.868410714505135
4,6.4650922826486825
5,6.153167054081303
6,5.899217870121828
7,5.6888236704359025
8,5.506987764424613
9,5.350525180369584
10,5.209967838681219
11,5.084854994813284
12,4.97147068075812
13,4.864766124498618
14,4.767215252720028
15,4.67670275257035
16,4.595264683361364
17,4.51731468566477
18,4.446739045333934
19,4.367635419790511
20,4.303001553655842
21,4.2456853642332355
22,4.186786876733248
23,4.129303107716051
24,4.070813359702716
25,4.024198232206868
26,3.976945750559242
27,3.9381192691943117
28,3.883377489748339
29,3.8462752424122133
30,3.800717078282385
31,3.7601207852645677
32,3.7248490876293854
33,3.6875289612146345
34,3.6413749451921253
35,3.6137361412618714
36,3.5778363412927443
37,3.5499836111596887
38,3.5081255360831993
39,3.4924810101288766
40,3.459844642388208
41,3.4318460456987254
42,3.401228167498113
43,3.363235804483694
44,3.3408405498123317
45,3.313445370426414
46,3.291368850451583
47,3.2643455070500926
48,3.2340108175871793
49,3.2073650374690716
51,3.2052043639481447
50,3.2016701796465816
52,3.1670217957902564
53,3.1261314072619846
54,3.100370545117563
55,3.0644579892269186
56,3.0622058088197126
57,3.0437551269686796
58,3.024485667699167
60,2.997386384397313
59,2.9863237770507656
61,2.973589623427257
62,2.9242792860618816
64,2.921686475483602
65,2.8992731873176036
63,2.8981764834976764
66,2.885926339801431
67,2.866877814337499
68,2.8494194137968996
69,2.8228216453031045
71,2.795184589682424
70,2.7867514221455614
72,2.7745169657285498
74,2.7573960287930244
73,2.7442929831226763
75,2.7371926427047373
76,2.7299742856995555
77,2.725094521081469
78,2.715167357848458
79,2.655138434811382
81,2.6444385894678386
82,2.6434526764861874
83,2.6344772701607315
86,2.629409599102719
80,2.6283889300503116
84,2.625312450961674
85,2.6085260335771943
88,2.6053050461411096
87,2.5477747053878224
90,2.5403294747908736
89,2.534026106056135
92,2.5327543789924976
93,2.519827993775719
91,2.5118833609788744
97,2.5024271199844326
94,2.4899584794248346
95,2.4742162640762553
98,2.45484486000851
96,2.450249108319361
101,2.450249108319361
102,2.4345689040341987
103,2.416640507338281
106,2.413299764081252
99,2.413299764081252
100,2.41161970596323
104,2.3710678622717363
109,2.3654879848909
110,2.361727836017593
105,2.3502480183341627
107,2.3364597338485296
111,2.330413773349191
108,2.3263358609287517
112,2.322219294733919
116,2.305351369446624
117,2.305351369446624
113,2.2810333672477277
115,2.2624510897304293
114,2.2576785748691846
118,2.2528530309798933
126,2.232996110392154
120,2.214843848047698
122,2.2013971243204513
121,2.1931245983544616
127,2.184691430817599
123,2.1818435879447726
133,2.1760912590556813
119,2.167317334748176
124,2.167317334748176
128,2.155336037465062
131,2.155336037465062
125,2.130333768495006
132,2.123851640967086
142,2.12057393120585
129,2.113943352306837
136,2.110589710299249
130,2.110589710299249
135,2.110589710299249
134,2.089905111439398
149,2.0791812460476247
143,2.060697840353612
140,2.0569048513364727
145,2.0492180226701815
141,2.041392685158225
146,2.0253058652647704
139,2.0170333392987803
144,2.0170333392987803
152,2.0086001717619175
150,2.0086001717619175
147,2.0043213737826426
160,2.0043213737826426
137,1.9912260756924949
138,1.9912260756924949
158,1.9731278535996988
148,1.9684829485539352
157,1.954242509439325
163,1.9444826721501687
154,1.9444826721501687
159,1.919078092376074
165,1.9138138523837167
151,1.9138138523837167
155,1.9138138523837167
162,1.9084850188786497
153,1.9030899869919435
156,1.9030899869919435
164,1.8976270912904414
168,1.8808135922807914
170,1.8808135922807914
169,1.863322860120456
161,1.8573324964312685
171,1.845098040014257
186,1.8388490907372552
167,1.8260748027008264
176,1.8195439355418688
188,1.8195439355418688
173,1.8129133566428557
180,1.8129133566428557
175,1.806179973983887
172,1.7993405494535817
189,1.7853298350107671
166,1.7853298350107671
179,1.7781512503836436
182,1.7781512503836436
177,1.7708520116421442
178,1.7558748556724915
187,1.7558748556724915
193,1.7481880270062005
191,1.7481880270062005
