Size,Count
1207,1
1197,1
1193,1
557,1
559,1
1252,1
1249,1
1248,1
1244,1
1603,1
1184,1
979,1
1057,1
1515,1
1508,1
1473,1
1467,1
1440,1
1417,1
1399,1
1390,1
1522,1
1051,1
1050,1
1146,1
1144,1
1138,1
1243,1
1238,1
1177,1
1221,1
1104,1
1089,1
1085,1
1061,1
1361,1
1183,1
1181,1
1222,1
728,1
730,1
660,1
662,1
664,1
644,1
645,1
666,1
1377,1
669,1
672,1
673,1
657,1
788,1
789,1
571,1
716,1
695,1
694,1
691,1
688,1
711,1
708,1
764,1
704,1
787,1
786,1
785,1
782,1
775,1
771,1
767,1
706,1
601,1
615,1
614,1
680,1
607,1
605,1
471,1
726,1
584,1
578,1
514,1
511,1
524,1
519,1
518,1
460,1
586,1
655,1
652,1
650,1
715,1
713,1
735,1
733,1
602,1
620,1
640,1
639,1
637,1
636,1
634,1
608,1
632,1
731,1
