b_value,count
361,13016
158,7283
132,5089
356,3921
492,2129
360,1780
4,1595
63,1577
220,1229
18,1130
148,1008
88,1005
62,869
93,847
476,782
428,681
362,631
80,616
401,580
190,475
121,471
89,470
106,467
422,447
197,405
86,386
87,309
425,306
171,271
327,259
105,259
54,258
421,212
114,191
117,177
33,171
152,165
120,153
353,151
72,144
262,142
64,128
133,118
162,117
85,113
92,110
467,108
204,103
1,102
134,102
328,97
103,93
319,87
164,83
2,81
426,79
244,78
169,73
154,68
43,63
193,60
176,59
434,59
32,58
427,55
322,53
160,53
186,46
466,46
247,46
111,40
180,39
233,38
241,36
135,35
40,35
248,34
3,33
151,33
446,31
142,31
119,31
202,30
140,30
95,28
243,27
410,27
112,24
35,24
60,22
480,22
131,22
297,21
144,21
31,18
177,14
429,14
369,13
30,12
50,12
203,12
415,12
453,11
473,11
195,10
82,10
7,10
456,10
363,10
405,9
253,8
147,8
9,7
153,7
439,7
98,5
11,5
165,5
239,5
170,4
196,4
478,4
5,3
323,3
418,2
237,2
354,2
0,2
113,2
326,2
258,2
346,1
359,1
