b_value,count
361,36802
158,15971
356,13276
132,11532
492,7865
360,5228
93,4597
63,3546
4,3283
428,2927
148,2477
18,2110
220,2046
62,1775
422,1775
362,1737
88,1618
80,1585
401,1457
476,1293
353,1146
197,1064
121,1061
327,1059
89,1035
106,941
190,907
421,822
171,816
86,781
369,750
425,732
87,702
117,698
33,675
54,608
2,481
105,464
319,456
3,409
92,359
120,352
64,315
162,276
111,261
262,255
134,247
204,240
328,227
114,223
1,222
427,219
151,213
363,209
169,201
426,194
133,188
154,186
72,180
85,168
164,166
244,157
142,152
434,145
152,142
32,142
446,139
248,136
103,131
160,128
176,125
60,118
43,114
467,113
140,105
466,89
180,87
322,84
119,83
233,80
405,79
241,74
247,73
297,72
186,69
135,69
203,67
243,65
40,63
170,58
35,54
323,54
429,52
144,48
153,45
193,44
480,41
202,40
410,39
95,38
112,36
31,32
30,29
439,23
415,22
195,22
7,21
131,20
98,20
147,17
201,17
9,16
473,16
253,16
453,15
50,15
370,11
456,11
239,10
196,10
82,9
165,9
478,7
354,6
418,6
258,5
11,4
0,4
5,3
47,3
409,3
346,3
177,2
301,2
145,2
294,2
359,2
237,1
326,1
113,1
