b_value,count
361,15438
158,6084
356,4483
132,4061
492,3477
63,2160
4,1992
360,1924
88,1479
93,1350
220,1323
428,998
148,795
422,786
62,710
197,693
476,679
190,656
18,644
121,619
362,563
327,544
80,511
117,471
421,459
171,450
33,404
89,395
401,359
2,352
425,316
3,290
106,277
86,270
54,268
319,248
87,243
353,239
105,226
120,177
204,167
369,158
111,152
1,137
64,135
427,131
328,118
151,110
426,109
248,104
85,98
72,96
114,95
244,90
92,85
434,82
262,75
363,73
176,70
60,67
152,66
160,65
170,62
446,60
103,60
133,59
134,59
322,56
180,55
247,55
162,54
297,52
467,47
164,47
466,44
243,41
154,40
142,39
186,38
169,36
203,36
241,33
153,32
429,31
323,30
135,29
32,29
95,26
439,24
233,23
43,22
480,22
144,19
35,19
140,19
202,18
112,16
40,13
410,12
201,11
415,11
119,9
253,8
165,7
195,7
30,7
473,6
147,6
418,6
131,6
9,5
453,5
50,5
405,4
31,4
7,4
98,3
239,3
326,3
478,3
196,2
354,2
193,2
370,2
57,1
294,1
409,1
47,1
359,1
258,1
456,1
237,1
