b_value,count
361,21975
158,8983
356,6741
132,6534
492,5777
93,3344
360,2724
63,2494
4,2284
428,1579
148,1571
18,1335
62,1300
88,1189
80,1106
422,1085
220,1069
362,913
476,813
401,810
327,793
197,787
171,722
121,676
190,661
89,614
106,522
425,501
421,483
87,473
86,464
54,443
353,431
117,428
33,425
2,414
3,355
319,325
105,295
92,250
120,210
369,203
111,200
204,179
64,179
151,175
262,170
114,156
1,155
328,149
363,148
85,147
427,146
434,130
162,127
133,119
72,115
426,113
134,110
140,107
244,104
164,100
103,98
154,97
60,96
169,92
176,89
446,86
142,85
152,83
160,76
248,75
170,60
180,60
186,59
32,59
322,58
297,58
43,56
467,53
466,51
203,51
247,50
135,49
233,41
323,39
144,39
95,36
35,34
119,33
153,33
40,33
147,32
480,31
429,26
98,24
241,23
439,23
112,21
195,20
202,18
243,18
405,17
410,16
201,14
193,14
415,13
456,12
165,11
9,10
7,9
370,8
50,8
11,8
31,8
131,7
253,7
237,7
30,7
453,7
196,6
346,4
326,4
418,4
473,4
354,3
409,3
301,2
145,2
478,2
47,2
0,2
57,2
239,2
177,2
5,1
294,1
113,1
