b_value,count
361,2566
356,797
158,786
492,753
132,513
360,417
148,253
425,225
428,166
18,156
362,131
476,87
422,85
63,85
434,83
106,77
4,69
421,62
353,62
190,47
80,47
328,44
86,44
93,40
89,36
54,36
33,35
197,31
62,30
87,28
169,24
322,21
369,19
220,18
85,16
121,15
88,14
40,14
154,13
327,12
134,12
152,11
105,11
162,10
120,10
64,9
133,9
114,9
446,9
103,9
439,8
319,8
202,7
2,7
262,6
176,6
135,6
43,5
92,5
323,5
195,5
186,5
112,4
72,4
180,4
363,4
297,4
426,4
164,4
401,4
427,3
171,3
429,3
117,3
119,2
467,2
204,2
144,2
153,2
415,2
3,2
131,2
193,2
418,2
1,1
233,1
60,1
111,1
160,1
473,1
