b_value,count
361,3332
492,2352
93,1521
220,1246
88,1029
63,1023
132,1007
158,939
356,825
4,768
121,691
476,668
80,516
360,444
62,417
18,344
428,341
106,316
197,306
117,273
105,268
248,250
171,234
190,229
148,218
72,199
33,198
422,175
401,151
425,142
86,135
54,126
362,123
120,116
92,107
111,102
89,102
64,93
2,86
1,84
151,83
103,78
262,75
244,70
3,69
152,68
87,65
421,59
204,56
327,56
247,54
434,52
85,49
243,48
176,40
353,37
135,36
133,36
144,32
241,32
319,31
180,30
162,29
142,29
60,27
160,25
140,24
114,23
186,23
467,22
134,21
297,21
466,19
363,19
439,18
426,18
328,17
32,17
369,16
473,15
322,14
202,13
427,13
193,13
169,13
233,12
195,12
11,10
480,9
40,9
43,9
165,9
153,9
35,8
429,8
170,8
112,7
147,7
323,7
446,7
119,7
154,6
453,6
98,6
253,6
31,5
478,5
95,5
415,4
237,4
30,4
7,4
203,4
456,4
418,2
239,2
177,2
50,1
164,1
145,1
0,1
9,1
294,1
