b_value,count
361,4985
492,2829
63,2001
158,1939
132,1908
4,1849
356,1640
93,1140
62,796
80,767
360,743
476,686
197,645
220,642
88,624
190,562
18,482
425,456
121,440
428,440
86,421
148,417
117,375
33,309
106,306
422,296
89,255
421,246
171,246
262,230
434,229
362,225
105,177
1,171
54,159
401,154
328,153
72,150
87,149
2,143
204,140
111,122
64,119
120,115
133,111
353,98
3,91
92,89
248,78
151,73
369,73
322,72
152,64
103,62
170,62
114,62
134,62
297,61
162,59
85,59
327,55
154,40
176,38
446,38
427,38
32,37
135,34
203,33
31,32
180,26
247,25
467,24
466,24
363,22
453,21
40,20
169,20
439,19
60,18
426,18
160,18
202,17
244,16
144,16
410,15
186,15
153,14
429,14
142,13
140,12
119,11
193,11
418,7
319,7
147,7
415,6
241,6
323,6
35,6
195,5
239,5
473,5
177,5
7,5
201,5
165,4
9,4
43,4
243,4
405,3
233,3
131,3
237,2
253,2
0,2
370,2
480,2
30,2
478,1
301,1
50,1
112,1
164,1
11,1
196,1
