b_value,count
361,27652
356,8159
360,3848
492,2725
428,1925
362,1284
422,1144
18,715
327,679
80,640
63,603
4,555
353,541
62,534
93,455
425,392
421,362
220,336
132,327
401,310
319,299
33,267
427,221
369,217
476,198
158,155
426,144
89,134
121,109
328,104
297,92
54,88
64,88
446,73
363,67
2,64
106,60
434,60
439,59
323,57
92,51
148,50
3,45
72,43
197,43
429,41
86,35
105,32
120,31
190,28
117,25
32,24
322,21
244,20
247,18
85,16
114,16
467,15
152,14
103,13
186,13
248,12
262,12
241,11
193,10
176,10
171,10
87,9
95,9
204,9
60,8
133,8
202,7
88,7
35,7
405,7
466,6
473,6
243,5
111,4
370,4
203,4
180,4
131,4
326,3
418,3
112,3
151,3
169,3
1,3
165,3
410,3
162,3
134,3
233,3
40,2
480,2
50,2
9,2
0,2
354,2
237,2
119,1
154,1
142,1
98,1
456,1
113,1
144,1
11,1
153,1
140,1
