b_value,count
361,47163
158,16851
132,14396
356,13762
492,11789
360,5407
63,4550
4,4447
93,4004
428,3754
220,3417
148,3269
88,3206
18,2791
62,2234
422,2154
476,2083
80,1992
401,1889
362,1758
121,1714
89,1518
197,1496
190,1395
106,1168
425,1122
117,1116
171,1034
327,1010
87,996
86,916
421,870
54,816
33,811
105,738
353,679
2,548
111,481
3,407
319,401
64,389
120,375
92,361
426,361
1,355
72,353
204,345
114,342
369,333
248,300
427,289
244,283
434,277
328,274
262,273
152,252
133,241
160,230
134,225
151,219
103,209
154,206
85,202
162,199
140,195
297,194
164,192
32,186
142,185
363,152
169,152
180,151
322,148
446,147
135,135
466,128
467,127
233,126
60,115
43,113
176,113
193,110
429,99
241,96
170,89
35,84
40,75
247,75
119,74
323,71
186,70
203,68
153,67
439,59
82,59
243,59
480,53
147,52
415,49
144,48
95,48
202,47
195,42
112,39
31,35
410,33
131,31
30,29
473,28
165,25
98,23
239,22
405,20
418,19
7,18
177,17
201,16
253,16
9,15
196,14
453,14
11,13
50,12
237,12
456,12
370,10
478,10
354,8
0,8
5,6
326,5
47,5
409,4
346,3
294,3
301,3
145,2
359,2
113,2
57,1
258,1
