b_value,count
361,18509
356,6418
492,3739
132,2843
360,2506
158,2037
4,1918
93,1529
63,1520
428,1399
80,1081
62,1020
18,1006
401,906
422,890
362,872
327,804
476,691
88,591
220,585
106,488
54,471
33,461
197,429
190,425
89,401
86,395
121,371
421,370
353,361
148,359
369,311
425,273
120,236
319,220
2,216
117,215
3,213
64,198
171,198
105,179
32,173
72,171
87,165
92,151
328,140
152,123
427,120
162,116
103,113
426,102
133,94
363,91
85,85
114,85
193,79
111,78
297,78
204,73
262,72
40,70
446,68
467,64
466,64
60,61
176,58
35,57
434,57
1,56
134,54
244,53
247,53
31,52
95,43
248,41
322,38
43,38
410,35
169,34
180,34
202,32
203,30
112,27
186,26
151,24
144,23
142,22
170,20
429,19
323,19
195,19
154,19
30,18
131,18
135,17
480,16
241,16
160,15
439,15
119,15
7,13
50,12
9,11
153,10
415,9
233,9
140,8
405,8
370,8
253,8
177,7
473,7
418,6
243,6
196,5
359,5
147,5
354,5
11,4
239,3
478,3
456,3
98,3
237,3
82,3
301,2
113,2
201,2
346,2
258,2
47,2
0,2
326,2
164,2
145,1
