b_value,count
361,112897
356,35414
492,15334
360,15002
158,12652
132,9232
428,8589
4,7593
63,6468
362,5412
327,4963
422,4840
220,2870
18,2823
33,2764
421,2547
62,2438
425,2373
80,2342
148,2322
88,2312
93,2292
54,2112
353,2066
197,2015
319,1935
476,1932
2,1890
190,1873
3,1866
401,1633
121,1515
117,1068
369,1064
86,1020
89,918
106,826
328,817
171,776
87,756
427,720
105,660
426,633
363,587
111,554
120,533
446,468
262,457
64,452
434,446
204,441
152,366
72,362
32,351
114,332
151,318
1,316
162,302
133,283
466,278
85,268
103,235
134,222
322,220
244,213
429,212
60,209
297,196
180,193
169,193
35,185
248,181
92,179
323,150
247,141
154,141
176,128
40,126
135,125
193,120
467,114
160,114
170,114
410,111
43,110
31,103
186,97
164,88
241,84
119,83
203,77
480,74
153,71
202,68
243,63
405,57
418,53
439,44
201,39
142,38
30,38
140,36
147,34
9,34
95,34
7,32
144,29
195,29
233,28
415,27
253,26
112,26
370,25
177,23
131,23
326,22
473,21
0,19
165,17
50,16
239,15
47,13
456,13
196,11
98,9
453,8
301,6
359,6
478,6
11,6
294,5
354,4
237,4
346,4
113,2
82,1
57,1
258,1
