b_value,count
361,6744
356,1992
492,1351
360,865
428,570
422,402
362,313
327,277
425,151
421,147
80,144
427,116
4,98
18,98
319,94
353,91
426,77
33,65
328,62
369,60
63,54
54,52
446,51
3,51
2,50
32,42
62,33
401,31
466,19
322,17
35,17
190,16
429,14
132,13
323,12
158,11
121,10
87,10
410,10
60,8
31,8
297,8
197,8
363,7
40,6
89,6
434,6
117,5
180,4
405,4
148,4
103,3
88,3
176,3
64,3
85,3
439,3
93,3
186,2
9,2
151,2
253,2
196,2
262,2
7,2
326,2
1,1
152,1
120,1
106,1
476,1
359,1
133,1
153,1
30,1
241,1
111,1
248,1
