b_value,count
361,30476
356,7794
360,4270
492,2710
428,2535
422,1732
362,1122
327,1088
425,814
421,573
319,456
353,451
427,411
33,373
80,369
63,366
426,322
4,281
18,246
93,233
62,146
446,127
328,121
297,101
3,91
369,86
158,80
2,77
220,75
132,66
323,66
434,50
148,47
439,47
401,41
429,39
322,35
363,29
121,28
54,24
64,24
88,22
89,21
476,19
197,18
171,13
117,13
190,12
120,12
105,11
92,11
326,9
86,8
418,8
60,7
32,7
151,7
0,5
170,5
180,5
111,4
154,4
466,4
204,4
133,4
410,4
103,4
1,4
160,3
72,3
247,3
262,3
7,2
9,2
134,2
473,2
98,2
35,2
153,2
162,1
370,1
243,1
40,1
176,1
415,1
248,1
135,1
301,1
164,1
85,1
169,1
87,1
165,1
144,1
152,1
203,1
114,1
