b_value,count
361,37352
356,10525
360,5065
428,2472
492,2294
362,1704
422,1418
327,914
18,791
353,668
80,631
63,620
62,556
4,510
93,450
220,440
319,404
421,403
425,379
132,342
33,301
401,262
427,254
158,206
369,193
89,171
426,166
476,137
328,136
64,97
121,87
446,86
54,80
363,71
2,66
148,66
297,58
86,57
323,50
106,46
92,45
3,45
72,42
105,41
434,39
197,34
120,32
439,30
190,29
429,27
32,26
85,26
117,22
244,18
247,18
322,17
103,17
467,16
133,15
262,15
60,14
35,14
202,13
134,12
248,12
186,12
114,11
162,11
176,11
87,11
405,10
466,10
88,9
152,9
241,9
171,9
193,8
204,7
326,6
473,6
169,6
151,5
410,4
154,4
480,3
95,3
0,3
180,3
131,3
415,2
301,2
111,2
160,2
1,2
112,2
203,2
418,2
50,2
153,2
243,2
40,1
98,1
11,1
253,1
370,1
140,1
142,1
43,1
9,1
453,1
119,1
165,1
237,1
456,1
144,1
7,1
