b_value,count
361,2064
132,1571
492,1461
158,1393
356,782
476,639
220,483
63,436
18,398
88,372
4,356
80,336
62,310
93,307
148,304
106,300
89,262
401,257
360,227
121,199
428,169
87,132
86,130
33,124
190,114
117,110
466,92
467,92
362,92
105,79
197,73
72,66
64,63
425,62
422,53
1,53
92,51
32,49
473,49
353,46
244,44
54,44
120,40
478,35
85,35
171,35
134,33
369,32
248,31
103,31
133,29
154,28
262,28
421,28
243,28
114,27
176,24
434,23
43,23
147,22
162,22
327,18
241,18
142,18
363,16
169,15
152,15
297,14
204,14
164,14
247,14
439,13
328,13
233,13
31,12
160,12
180,12
322,11
2,10
480,9
111,9
426,9
135,8
119,8
202,8
40,7
35,7
151,7
131,7
30,6
319,6
323,6
186,6
82,6
195,5
95,5
415,5
253,4
237,4
140,4
98,4
446,3
429,3
144,3
153,3
410,3
3,2
60,2
453,2
239,2
165,2
456,2
359,2
9,2
409,2
196,1
112,1
170,1
50,1
370,1
258,1
427,1
