b_value,count
361,41976
356,13735
158,10688
132,8126
492,7191
360,5231
93,4437
4,3417
428,3271
63,3226
148,1958
220,1797
422,1748
18,1735
362,1734
88,1461
62,1403
327,1366
197,1360
80,1348
190,1307
476,1299
401,1037
421,940
33,902
425,880
171,876
121,868
89,828
353,788
54,722
106,716
86,694
2,657
117,615
3,600
87,542
105,482
319,438
369,399
120,383
328,327
92,298
64,297
111,276
427,272
114,263
152,245
204,235
262,233
426,229
72,220
151,214
133,209
32,206
85,193
162,172
169,172
446,170
1,170
244,168
134,154
434,153
103,147
176,146
363,146
248,139
322,135
170,129
154,129
140,125
193,119
467,114
466,106
60,105
164,103
142,103
186,90
203,88
43,85
247,85
160,81
429,74
180,74
297,73
153,65
241,65
40,63
119,62
135,60
233,59
35,45
144,43
323,43
243,42
82,42
30,37
95,37
202,36
480,33
439,32
473,31
195,28
410,28
131,26
31,26
7,23
201,22
11,21
147,21
112,20
177,19
453,18
405,18
239,17
50,16
415,16
165,16
478,16
9,13
253,12
98,10
456,10
196,8
258,7
326,6
5,6
418,5
346,4
370,4
354,4
0,4
237,3
301,2
47,2
359,1
145,1
409,1
57,1
294,1
113,1
