b_value,count
361,5213
492,2893
63,1793
356,1743
158,1367
4,1357
132,1321
360,830
220,775
93,739
62,664
476,635
88,633
80,585
428,508
425,501
197,465
18,458
121,434
86,430
190,412
89,343
117,339
106,318
148,292
434,277
422,272
421,229
362,217
87,200
262,181
54,172
33,171
105,156
328,152
1,136
72,134
204,116
171,115
64,113
353,110
2,98
120,96
297,92
401,85
322,81
369,79
248,73
151,71
92,70
133,65
111,64
162,60
103,53
142,48
3,45
85,43
152,39
180,35
114,35
134,32
154,30
244,28
160,26
327,23
446,21
135,21
363,20
243,20
176,20
186,19
427,18
140,18
439,17
466,16
247,16
202,15
119,15
426,15
169,15
239,15
467,14
429,13
60,13
241,13
153,10
195,10
203,9
35,9
40,8
480,8
170,8
473,7
323,7
193,6
233,6
319,6
453,6
144,6
131,5
418,5
147,5
253,4
164,4
410,4
7,4
43,4
112,3
415,3
9,3
32,2
98,2
165,1
370,1
359,1
95,1
405,1
30,1
301,1
0,1
