b_value,count
361,23999
356,6985
132,6070
492,5885
63,5770
158,5610
4,5046
360,3762
220,2718
476,2588
62,2153
190,2083
425,1870
93,1657
428,1570
88,1492
197,1402
80,1346
86,1333
18,1326
148,1316
121,1160
362,1075
106,1005
434,955
422,845
421,810
89,805
33,784
262,732
353,624
117,614
54,577
87,568
133,559
105,479
171,469
328,420
64,378
72,373
162,372
1,340
134,336
204,335
297,333
120,319
152,304
85,277
111,238
401,228
2,220
248,187
322,181
176,157
40,150
3,148
180,147
169,146
186,137
103,118
151,117
154,111
135,109
92,106
446,99
114,91
467,80
427,79
327,73
119,72
35,70
170,69
369,68
60,68
202,66
43,64
439,63
453,59
153,58
244,55
247,52
466,52
241,50
415,47
363,46
195,45
319,44
203,41
429,40
426,36
144,36
193,35
131,31
160,30
112,28
243,26
165,21
473,20
418,16
95,15
201,14
323,14
142,13
239,12
32,11
359,11
147,11
456,11
480,9
9,8
410,7
164,7
140,7
237,6
253,6
145,6
7,6
0,5
50,5
233,4
196,2
478,2
177,2
346,1
57,1
11,1
30,1
