b_value,count
361,8208
356,2574
492,1860
360,1148
428,819
327,637
422,474
425,444
362,354
421,289
319,183
33,158
4,143
353,137
80,133
54,130
427,124
63,115
3,108
328,101
369,101
2,94
426,77
446,72
18,71
434,64
32,61
401,54
322,52
429,40
35,27
62,26
297,24
466,20
410,16
158,15
60,15
132,14
31,14
439,14
197,13
323,13
262,9
64,9
121,8
87,8
363,7
89,6
190,6
1,5
88,5
85,4
40,4
176,3
180,3
405,3
418,3
476,3
120,3
117,3
152,3
93,3
248,2
0,2
148,2
151,2
133,2
47,2
103,1
30,1
50,1
7,1
105,1
140,1
220,1
9,1
241,1
86,1
