b_value,count
361,1443
356,303
158,269
132,204
360,203
428,152
63,146
4,138
492,119
476,105
220,82
362,59
88,49
106,49
18,46
148,44
422,38
93,36
121,36
190,35
62,34
117,32
197,30
353,29
80,24
89,23
33,20
54,19
87,19
425,19
171,17
105,15
421,15
86,14
1,11
248,11
114,11
64,11
72,10
204,10
401,9
120,9
135,8
297,8
85,7
327,7
2,7
180,6
160,6
3,6
434,4
133,4
111,4
176,3
244,3
151,3
473,3
241,3
439,3
152,3
427,2
478,2
319,2
92,2
467,2
328,2
363,2
322,1
170,1
134,1
410,1
247,1
323,1
40,1
239,1
164,1
466,1
60,1
154,1
480,1
243,1
426,1
153,1
446,1
103,1
30,1
142,1
233,1
131,1
