b_value,count
361,17214
158,14118
132,9463
492,7850
356,5733
4,3428
63,3160
93,3055
148,2593
88,2261
360,2254
476,1784
428,1720
220,1666
62,1459
18,1455
197,1275
80,1164
171,1135
121,1109
190,1100
117,987
422,882
362,741
89,738
106,726
86,695
425,642
327,622
401,619
87,571
33,570
54,562
421,468
105,445
120,395
2,395
353,334
3,318
204,303
1,293
111,283
64,282
72,271
169,254
154,240
92,233
134,224
262,217
328,214
151,212
319,210
162,195
248,193
133,192
244,165
114,162
85,148
152,137
103,137
434,135
176,129
369,128
427,128
43,122
164,120
60,114
247,107
135,106
363,89
322,87
160,84
426,84
446,84
140,81
180,78
467,78
297,75
466,74
153,69
142,69
186,67
170,67
119,65
233,62
429,58
32,58
203,47
241,44
40,41
95,36
202,35
144,35
112,34
415,34
243,30
480,29
323,26
82,25
147,23
7,22
35,22
195,21
473,19
439,18
131,16
165,16
30,15
201,15
456,13
410,13
31,12
11,12
50,12
9,12
253,11
405,9
193,9
196,8
239,8
418,8
237,7
478,7
98,6
453,6
359,5
354,3
370,2
47,2
113,2
0,2
409,2
326,2
5,1
294,1
177,1
145,1
346,1
