b_value,count
361,3125
492,2288
356,1137
158,1080
132,1053
63,969
4,723
93,572
360,534
476,443
80,432
88,352
425,330
190,325
220,303
428,303
62,292
197,258
121,230
86,228
106,226
148,202
18,201
434,180
422,163
421,155
117,129
328,129
362,128
1,124
33,111
72,106
89,101
171,94
262,93
54,90
105,77
204,73
87,73
353,71
322,66
64,64
248,64
369,62
2,58
297,55
162,51
152,49
3,44
111,44
92,43
133,42
401,36
103,36
120,34
85,32
151,31
327,28
154,27
176,24
114,24
134,21
170,21
135,18
427,17
160,17
446,15
180,13
247,12
144,11
60,11
169,10
193,9
119,9
429,9
186,9
439,8
363,8
467,8
453,7
239,6
203,6
202,5
426,5
418,5
415,5
140,5
153,5
35,4
142,4
241,4
43,3
319,3
244,3
40,3
201,3
32,3
195,3
9,3
480,3
131,3
473,2
7,2
243,2
323,2
370,2
466,2
410,2
0,2
177,2
165,2
301,1
112,1
237,1
147,1
98,1
