b_value,count
361,15718
356,4516
360,2040
428,1116
492,739
362,603
422,513
327,402
353,269
80,171
319,137
18,132
421,117
427,113
425,94
63,87
132,86
33,79
62,74
4,69
401,61
93,57
426,55
369,49
220,46
158,41
190,40
328,39
446,34
3,32
32,31
2,30
323,22
88,21
297,19
434,17
476,15
54,13
197,11
64,11
117,10
363,9
72,9
322,9
439,8
171,8
152,8
121,8
148,7
35,7
120,6
89,6
466,6
244,5
429,4
95,4
103,4
0,3
92,3
410,3
106,3
262,3
105,3
85,3
153,3
405,2
114,2
326,2
176,2
247,2
134,2
86,1
467,1
31,1
111,1
1,1
473,1
135,1
248,1
456,1
193,1
186,1
