ids,labels,parents,counts
root:Host-associated:Human:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Human:Digestive system:Large intestine,13016
root:Environmental:Aquatic:Marine:Oceanic,Oceanic,root:Environmental:Aquatic:Marine,7283
root:Environmental:Aquatic:Marine,Marine,root:Environmental:Aquatic,5089
root:Host-associated:Human:Digestive system,Digestive system,root:Host-associated:Human,3921
root:Mixed,Mixed,root,2129
root:Host-associated:Human:Digestive system:Large intestine,Large intestine,root:Host-associated:Human:Digestive system,1780
root:Engineered:Bioreactor,Bioreactor,root:Engineered,1595
root:Engineered:Wastewater:Activated Sludge,Activated Sludge,root:Engineered:Wastewater,1577
root:Environmental:Terrestrial:Soil,Soil,root:Environmental:Terrestrial,1229
root:Engineered:Bioremediation:Terephthalate:Wastewater,Wastewater,root:Engineered:Bioremediation:Terephthalate,1130
root:Environmental:Aquatic:Marine:Intertidal zone:Estuary,Estuary,root:Environmental:Aquatic:Marine:Intertidal zone,1008
root:Environmental:Aquatic:Estuary:Sediment,Sediment,root:Environmental:Aquatic:Estuary,1005
root:Engineered:Wastewater,Wastewater,root:Engineered,869
root:Environmental:Aquatic:Freshwater:Groundwater,Groundwater,root:Environmental:Aquatic:Freshwater,847
root:Host-associated:Plants:Rhizosphere,Rhizosphere,root:Host-associated:Plants,782
root:Host-associated:Mammals:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Mammals:Digestive system:Large intestine,681
root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon,Sigmoid colon,root:Host-associated:Human:Digestive system:Large intestine,631
root:Engineered:Wastewater:Water and sludge,Water and sludge,root:Engineered:Wastewater,616
root:Host-associated:Human:Skin,Skin,root:Host-associated:Human,580
root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline:Microbial mats,Microbial mats,root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline,475
root:Environmental:Aquatic:Freshwater:Sediment,Sediment,root:Environmental:Aquatic:Freshwater,471
root:Environmental:Aquatic:Freshwater,Freshwater,root:Environmental:Aquatic,470
