ids,labels,parents,counts
root:Host-associated:Human:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Human:Digestive system:Large intestine,39864
root:Host-associated:Human:Digestive system,Digestive system,root:Host-associated:Human,11835
root:Mixed,Mixed,root,6503
root:Host-associated:Human:Digestive system:Large intestine,Large intestine,root:Host-associated:Human:Digestive system,6052
root:Host-associated:Mammals:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Mammals:Digestive system:Large intestine,3893
root:Environmental:Aquatic:Marine,Marine,root:Environmental:Aquatic,3463
root:Environmental:Aquatic:Marine:Oceanic,Oceanic,root:Environmental:Aquatic:Marine,3274
root:Environmental:Aquatic:Freshwater:Groundwater,Groundwater,root:Environmental:Aquatic:Freshwater,2597
root:Host-associated:Mammals:Digestive system:Fecal,Fecal,root:Host-associated:Mammals:Digestive system,2339
root:Engineered:Wastewater:Activated Sludge,Activated Sludge,root:Engineered:Wastewater,1971
root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon,Sigmoid colon,root:Host-associated:Human:Digestive system:Large intestine,1786
root:Engineered:Bioreactor,Bioreactor,root:Engineered,1745
root:Host-associated:Birds:Digestive system:Digestive tube,Digestive tube,root:Host-associated:Birds:Digestive system,1515
root:Environmental:Terrestrial:Soil,Soil,root:Environmental:Terrestrial,1261
root:Engineered:Bioremediation:Terephthalate:Wastewater,Wastewater,root:Engineered:Bioremediation:Terephthalate,1231
root:Engineered:Wastewater:Water and sludge,Water and sludge,root:Engineered:Wastewater,1164
root:Engineered:Wastewater,Wastewater,root:Engineered,1135
root:Host-associated:Mammals:Digestive system,Digestive system,root:Host-associated:Mammals,871
root:Host-associated:Mammals:Digestive system:Foregut:Rumen,Rumen,root:Host-associated:Mammals:Digestive system:Foregut,757
root:Host-associated:Plants:Rhizosphere,Rhizosphere,root:Host-associated:Plants,656
root:Host-associated:Birds,Birds,root:Host-associated,630
root:Engineered:Food production:Fermented beverages,Fermented beverages,root:Engineered:Food production,602
root:Host-associated:Human:Skin,Skin,root:Host-associated:Human,576
root:Host-associated:Human,Human,root:Host-associated,557
root:Environmental:Aquatic:Freshwater,Freshwater,root:Environmental:Aquatic,526
root:Host-associated:Mammals:Digestive system:Large intestine:Cecum,Cecum,root:Host-associated:Mammals:Digestive system:Large intestine,522
root:Environmental:Aquatic:Freshwater:Sediment,Sediment,root:Environmental:Aquatic:Freshwater,518
root:Environmental:Aquatic:Marine:Intertidal zone:Estuary,Estuary,root:Environmental:Aquatic:Marine:Intertidal zone,489
root:Environmental:Aquatic:Estuary:Sediment,Sediment,root:Environmental:Aquatic:Estuary,440
root:Environmental:Aquatic:Thermal springs:Hot (42-90C),Hot (42-90C),root:Environmental:Aquatic:Thermal springs,368
root:Environmental:Aquatic:Freshwater:Lentic,Lentic,root:Environmental:Aquatic:Freshwater,361
root:Host-associated:Mammals:Digestive system:Large intestine,Large intestine,root:Host-associated:Mammals:Digestive system,336
root:Environmental:Aquatic:Aquaculture,Aquaculture,root:Environmental:Aquatic,317
root:Environmental:Aquatic:Marine:Sediment,Sediment,root:Environmental:Aquatic:Marine,239
root:Engineered:Wastewater:Industrial wastewater,Industrial wastewater,root:Engineered:Wastewater,236
root:Environmental:Aquatic:Freshwater:Lotic:Sediment,Sediment,root:Environmental:Aquatic:Freshwater:Lotic,228
root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline:Microbial mats,Microbial mats,root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline,228
root:Environmental:Aquatic:Freshwater:Drinking water:Delivery networks,Delivery networks,root:Environmental:Aquatic:Freshwater:Drinking water,228
root:Engineered:Solid waste:Composting,Composting,root:Engineered:Solid waste,207
