ids,labels,parents,counts
root:Host-associated:Human:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Human:Digestive system:Large intestine,8692
root:Host-associated:Human:Digestive system,Digestive system,root:Host-associated:Human,2917
root:Host-associated:Human:Digestive system:Large intestine,Large intestine,root:Host-associated:Human:Digestive system,1229
root:Host-associated:Birds:Digestive system:Digestive tube,Digestive tube,root:Host-associated:Birds:Digestive system,877
root:Host-associated:Mammals:Digestive system:Fecal,Fecal,root:Host-associated:Mammals:Digestive system,871
root:Host-associated:Mammals:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Mammals:Digestive system:Large intestine,829
root:Mixed,Mixed,root,616
root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon,Sigmoid colon,root:Host-associated:Human:Digestive system:Large intestine,525
root:Engineered:Food production:Fermented beverages,Fermented beverages,root:Engineered:Food production,231
root:Host-associated:Mammals:Digestive system,Digestive system,root:Host-associated:Mammals,231
root:Engineered:Bioreactor,Bioreactor,root:Engineered,221
root:Host-associated:Mammals:Digestive system:Large intestine:Cecum,Cecum,root:Host-associated:Mammals:Digestive system:Large intestine,203
root:Engineered:Solid waste:Composting,Composting,root:Engineered:Solid waste,199
root:Host-associated:Birds,Birds,root:Host-associated,146
root:Host-associated:Human,Human,root:Host-associated,141
root:Host-associated:Mammals:Digestive system:Large intestine,Large intestine,root:Host-associated:Mammals:Digestive system,134
root:Engineered:Biogas plant:Wet fermentation,Wet fermentation,root:Engineered:Biogas plant,115
root:Host-associated:Human:Skin,Skin,root:Host-associated:Human,114
root:Host-associated:Mammals:Respiratory system,Respiratory system,root:Host-associated:Mammals,108
root:Host-associated:Human:Digestive system:Oral:Saliva,Saliva,root:Host-associated:Human:Digestive system:Oral,107
root:Engineered:Wastewater:Water and sludge,Water and sludge,root:Engineered:Wastewater,103
root:Engineered:Biogas plant,Biogas plant,root:Engineered,95
root:Engineered:Wastewater:Activated Sludge,Activated Sludge,root:Engineered:Wastewater,88
root:Host-associated:Birds:Digestive system:Digestive tube:Cecum,Cecum,root:Host-associated:Birds:Digestive system:Digestive tube,84
root:Engineered:Food production:Dairy products,Dairy products,root:Engineered:Food production,75
root:Engineered:Bioremediation:Terephthalate:Wastewater,Wastewater,root:Engineered:Bioremediation:Terephthalate,64
root:Host-associated:Plants,Plants,root:Host-associated,61
root:Engineered:Food production:Fermented vegetables,Fermented vegetables,root:Engineered:Food production,37
root:Engineered:Wastewater,Wastewater,root:Engineered,36
root:Host-associated:Mammals:Digestive system:Foregut:Rumen,Rumen,root:Host-associated:Mammals:Digestive system:Foregut,31
root:Environmental:Aquatic:Marine,Marine,root:Environmental:Aquatic,28
root:Host-associated:Insecta:Digestive system,Digestive system,root:Host-associated:Insecta,24
root:Host-associated:Arthropoda:Digestive system:Hindgut,Hindgut,root:Host-associated:Arthropoda:Digestive system,24
root:Engineered:Food production,Food production,root:Engineered,23
