ids,labels,parents,counts
root:Host-associated:Human:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Human:Digestive system:Large intestine,15030
root:Environmental:Aquatic:Marine:Oceanic,Oceanic,root:Environmental:Aquatic:Marine,7488
root:Environmental:Aquatic:Marine,Marine,root:Environmental:Aquatic,5662
root:Host-associated:Human:Digestive system,Digestive system,root:Host-associated:Human,4214
root:Mixed,Mixed,root,2450
root:Host-associated:Human:Digestive system:Large intestine,Large intestine,root:Host-associated:Human:Digestive system,1999
root:Engineered:Bioreactor,Bioreactor,root:Engineered,1637
root:Engineered:Wastewater:Activated Sludge,Activated Sludge,root:Engineered:Wastewater,1514
root:Environmental:Terrestrial:Soil,Soil,root:Environmental:Terrestrial,1160
root:Environmental:Aquatic:Estuary:Sediment,Sediment,root:Environmental:Aquatic:Estuary,1143
root:Environmental:Aquatic:Marine:Intertidal zone:Estuary,Estuary,root:Environmental:Aquatic:Marine:Intertidal zone,1132
root:Engineered:Bioremediation:Terephthalate:Wastewater,Wastewater,root:Engineered:Bioremediation:Terephthalate,1119
root:Engineered:Wastewater,Wastewater,root:Engineered,919
root:Host-associated:Plants:Rhizosphere,Rhizosphere,root:Host-associated:Plants,875
root:Environmental:Aquatic:Freshwater:Groundwater,Groundwater,root:Environmental:Aquatic:Freshwater,840
root:Host-associated:Mammals:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Mammals:Digestive system:Large intestine,761
root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon,Sigmoid colon,root:Host-associated:Human:Digestive system:Large intestine,675
root:Engineered:Wastewater:Water and sludge,Water and sludge,root:Engineered:Wastewater,669
root:Host-associated:Human:Skin,Skin,root:Host-associated:Human,651
root:Environmental:Aquatic:Freshwater:Lentic,Lentic,root:Environmental:Aquatic:Freshwater,532
root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline:Microbial mats,Microbial mats,root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline,518
root:Host-associated:Mammals:Digestive system:Fecal,Fecal,root:Host-associated:Mammals:Digestive system,507
root:Environmental:Aquatic:Freshwater,Freshwater,root:Environmental:Aquatic,461
root:Environmental:Aquatic:Freshwater:Sediment,Sediment,root:Environmental:Aquatic:Freshwater,436
root:Environmental:Aquatic:Thermal springs:Hot (42-90C),Hot (42-90C),root:Environmental:Aquatic:Thermal springs,436
root:Environmental:Aquatic:Aquaculture,Aquaculture,root:Environmental:Aquatic,423
root:Host-associated:Mammals:Digestive system:Foregut:Rumen,Rumen,root:Host-associated:Mammals:Digestive system:Foregut,347
root:Environmental:Aquatic:Estuary,Estuary,root:Environmental:Aquatic,341
root:Environmental:Aquatic:Marine:Sediment,Sediment,root:Environmental:Aquatic:Marine,312
root:Host-associated:Birds:Digestive system:Digestive tube,Digestive tube,root:Host-associated:Birds:Digestive system,276
root:Environmental:Aquatic:Freshwater:Lake,Lake,root:Environmental:Aquatic:Freshwater,260
root:Engineered:Solid waste:Composting,Composting,root:Engineered:Solid waste,225
root:Host-associated:Mammals:Digestive system,Digestive system,root:Host-associated:Mammals,204
root:Environmental:Aquatic:Freshwater:Lotic:Sediment,Sediment,root:Environmental:Aquatic:Freshwater:Lotic,203
root:Environmental:Aquatic:Freshwater:Lotic:Low land river systems,Low land river systems,root:Environmental:Aquatic:Freshwater:Lotic,180
root:Engineered:Food production:Fermented beverages,Fermented beverages,root:Engineered:Food production,176
root:Host-associated:Human,Human,root:Host-associated,171
root:Environmental:Aquatic:Freshwater:Pond:Sediment,Sediment,root:Environmental:Aquatic:Freshwater:Pond,168
root:Host-associated:Algae:Red algae,Red algae,root:Host-associated:Algae,158
root:Environmental:Aquatic:Marine:Intertidal zone:Salt marsh,Salt marsh,root:Environmental:Aquatic:Marine:Intertidal zone,152
root:Engineered:Wastewater:Industrial wastewater,Industrial wastewater,root:Engineered:Wastewater,134
root:Engineered:Wastewater:Nutrient removal:Biological phosphorus removal:Activated sludge,Activated sludge,root:Engineered:Wastewater:Nutrient removal:Biological phosphorus removal,131
root:Environmental:Aquatic:Marine:Brackish,Brackish,root:Environmental:Aquatic:Marine,129
root:Environmental:Aquatic:Marine:Oceanic:Oil-contaminated,Oil-contaminated,root:Environmental:Aquatic:Marine:Oceanic,128
root:Engineered,Engineered,root,118
