ids,labels,parents,counts
root:Host-associated:Human:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Human:Digestive system:Large intestine,112897
root:Host-associated:Human:Digestive system,Digestive system,root:Host-associated:Human,35414
root:Mixed,Mixed,root,15334
root:Host-associated:Human:Digestive system:Large intestine,Large intestine,root:Host-associated:Human:Digestive system,15002
root:Environmental:Aquatic:Marine:Oceanic,Oceanic,root:Environmental:Aquatic:Marine,12652
root:Environmental:Aquatic:Marine,Marine,root:Environmental:Aquatic,9232
root:Host-associated:Mammals:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Mammals:Digestive system:Large intestine,8589
root:Engineered:Bioreactor,Bioreactor,root:Engineered,7593
root:Engineered:Wastewater:Activated Sludge,Activated Sludge,root:Engineered:Wastewater,6468
root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon,Sigmoid colon,root:Host-associated:Human:Digestive system:Large intestine,5412
root:Host-associated:Birds:Digestive system:Digestive tube,Digestive tube,root:Host-associated:Birds:Digestive system,4963
root:Host-associated:Mammals:Digestive system:Fecal,Fecal,root:Host-associated:Mammals:Digestive system,4840
root:Environmental:Terrestrial:Soil,Soil,root:Environmental:Terrestrial,2870
root:Engineered:Bioremediation:Terephthalate:Wastewater,Wastewater,root:Engineered:Bioremediation:Terephthalate,2823
root:Engineered:Food production:Fermented beverages,Fermented beverages,root:Engineered:Food production,2764
root:Host-associated:Mammals:Digestive system,Digestive system,root:Host-associated:Mammals,2547
root:Engineered:Wastewater,Wastewater,root:Engineered,2438
root:Host-associated:Mammals:Digestive system:Foregut:Rumen,Rumen,root:Host-associated:Mammals:Digestive system:Foregut,2373
root:Engineered:Wastewater:Water and sludge,Water and sludge,root:Engineered:Wastewater,2342
root:Environmental:Aquatic:Marine:Intertidal zone:Estuary,Estuary,root:Environmental:Aquatic:Marine:Intertidal zone,2322
root:Environmental:Aquatic:Estuary:Sediment,Sediment,root:Environmental:Aquatic:Estuary,2312
root:Environmental:Aquatic:Freshwater:Groundwater,Groundwater,root:Environmental:Aquatic:Freshwater,2292
root:Engineered:Solid waste:Composting,Composting,root:Engineered:Solid waste,2112
root:Host-associated:Human,Human,root:Host-associated,2066
root:Environmental:Aquatic:Thermal springs:Hot (42-90C),Hot (42-90C),root:Environmental:Aquatic:Thermal springs,2015
root:Host-associated:Birds,Birds,root:Host-associated,1935
root:Host-associated:Plants:Rhizosphere,Rhizosphere,root:Host-associated:Plants,1932
root:Engineered:Biogas plant,Biogas plant,root:Engineered,1890
root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline:Microbial mats,Microbial mats,root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline,1873
root:Engineered:Biogas plant:Wet fermentation,Wet fermentation,root:Engineered:Biogas plant,1866
root:Host-associated:Human:Skin,Skin,root:Host-associated:Human,1633
root:Environmental:Aquatic:Freshwater:Sediment,Sediment,root:Environmental:Aquatic:Freshwater,1515
root:Environmental:Aquatic:Freshwater:Lotic:Sediment,Sediment,root:Environmental:Aquatic:Freshwater:Lotic,1068
root:Host-associated:Human:Digestive system:Oral:Saliva,Saliva,root:Host-associated:Human:Digestive system:Oral,1064
