ids,labels,parents,counts
root:Host-associated:Human:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Human:Digestive system:Large intestine,14449
root:Host-associated:Human:Digestive system,Digestive system,root:Host-associated:Human,4424
root:Mixed,Mixed,root,3137
root:Host-associated:Human:Digestive system:Large intestine,Large intestine,root:Host-associated:Human:Digestive system,1936
root:Host-associated:Mammals:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Mammals:Digestive system:Large intestine,1130
root:Environmental:Aquatic:Marine:Oceanic,Oceanic,root:Environmental:Aquatic:Marine,870
root:Environmental:Aquatic:Marine,Marine,root:Environmental:Aquatic,867
root:Engineered:Wastewater:Activated Sludge,Activated Sludge,root:Engineered:Wastewater,756
root:Host-associated:Mammals:Digestive system:Fecal,Fecal,root:Host-associated:Mammals:Digestive system,710
root:Engineered:Bioreactor,Bioreactor,root:Engineered,678
root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon,Sigmoid colon,root:Host-associated:Human:Digestive system:Large intestine,625
root:Host-associated:Mammals:Digestive system:Foregut:Rumen,Rumen,root:Host-associated:Mammals:Digestive system:Foregut,528
root:Host-associated:Birds:Digestive system:Digestive tube,Digestive tube,root:Host-associated:Birds:Digestive system,487
root:Engineered:Wastewater:Water and sludge,Water and sludge,root:Engineered:Wastewater,371
root:Host-associated:Mammals:Digestive system,Digestive system,root:Host-associated:Mammals,353
root:Environmental:Aquatic:Freshwater:Groundwater,Groundwater,root:Environmental:Aquatic:Freshwater,340
root:Host-associated:Plants:Rhizosphere,Rhizosphere,root:Host-associated:Plants,288
root:Engineered:Bioremediation:Terephthalate:Wastewater,Wastewater,root:Engineered:Bioremediation:Terephthalate,269
root:Environmental:Aquatic:Marine:Intertidal zone:Estuary,Estuary,root:Environmental:Aquatic:Marine:Intertidal zone,248
root:Host-associated:Human,Human,root:Host-associated,247
root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline:Microbial mats,Microbial mats,root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline,200
root:Engineered:Wastewater,Wastewater,root:Engineered,196
root:Environmental:Aquatic:Estuary:Sediment,Sediment,root:Environmental:Aquatic:Estuary,194
root:Environmental:Aquatic:Thermal springs:Hot (42-90C),Hot (42-90C),root:Environmental:Aquatic:Thermal springs,171
root:Environmental:Aquatic:Freshwater:Lentic,Lentic,root:Environmental:Aquatic:Freshwater,170
root:Host-associated:Birds:Digestive system:Digestive tube:Cecum,Cecum,root:Host-associated:Birds:Digestive system:Digestive tube,168
root:Engineered:Food production:Fermented beverages,Fermented beverages,root:Engineered:Food production,165
root:Environmental:Aquatic:Aquaculture,Aquaculture,root:Environmental:Aquatic,155
root:Environmental:Aquatic:Freshwater:Sediment,Sediment,root:Environmental:Aquatic:Freshwater,154
root:Engineered:Biogas plant:Wet fermentation,Wet fermentation,root:Engineered:Biogas plant,152
root:Host-associated:Mammals:Digestive system:Large intestine:Cecum,Cecum,root:Host-associated:Mammals:Digestive system:Large intestine,130
root:Host-associated:Birds,Birds,root:Host-associated,122
root:Engineered:Biogas plant,Biogas plant,root:Engineered,117
root:Environmental:Terrestrial:Soil,Soil,root:Environmental:Terrestrial,106
root:Environmental:Aquatic:Freshwater,Freshwater,root:Environmental:Aquatic,103
root:Environmental:Aquatic:Freshwater:Lake,Lake,root:Environmental:Aquatic:Freshwater,94
root:Host-associated:Birds:Digestive system,Digestive system,root:Host-associated:Birds,93
