ids,labels,parents,counts
root:Host-associated:Human:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Human:Digestive system:Large intestine,30476
root:Host-associated:Human:Digestive system,Digestive system,root:Host-associated:Human,7794
root:Host-associated:Human:Digestive system:Large intestine,Large intestine,root:Host-associated:Human:Digestive system,4270
root:Mixed,Mixed,root,2710
root:Host-associated:Mammals:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Mammals:Digestive system:Large intestine,2535
root:Host-associated:Mammals:Digestive system:Fecal,Fecal,root:Host-associated:Mammals:Digestive system,1732
root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon,Sigmoid colon,root:Host-associated:Human:Digestive system:Large intestine,1122
root:Host-associated:Birds:Digestive system:Digestive tube,Digestive tube,root:Host-associated:Birds:Digestive system,1088
root:Host-associated:Mammals:Digestive system:Foregut:Rumen,Rumen,root:Host-associated:Mammals:Digestive system:Foregut,814
root:Host-associated:Mammals:Digestive system,Digestive system,root:Host-associated:Mammals,573
root:Host-associated:Birds,Birds,root:Host-associated,456
root:Host-associated:Human,Human,root:Host-associated,451
root:Host-associated:Mammals:Digestive system:Large intestine:Cecum,Cecum,root:Host-associated:Mammals:Digestive system:Large intestine,411
root:Engineered:Food production:Fermented beverages,Fermented beverages,root:Engineered:Food production,373
root:Engineered:Wastewater:Water and sludge,Water and sludge,root:Engineered:Wastewater,369
root:Engineered:Wastewater:Activated Sludge,Activated Sludge,root:Engineered:Wastewater,366
root:Host-associated:Mammals:Digestive system:Large intestine,Large intestine,root:Host-associated:Mammals:Digestive system,322
root:Engineered:Bioreactor,Bioreactor,root:Engineered,281
root:Engineered:Bioremediation:Terephthalate:Wastewater,Wastewater,root:Engineered:Bioremediation:Terephthalate,246
root:Environmental:Aquatic:Freshwater:Groundwater,Groundwater,root:Environmental:Aquatic:Freshwater,233
root:Engineered:Wastewater,Wastewater,root:Engineered,146
root:Host-associated:Mammals:Respiratory system,Respiratory system,root:Host-associated:Mammals,127
root:Host-associated:Birds:Digestive system:Digestive tube:Cecum,Cecum,root:Host-associated:Birds:Digestive system:Digestive tube,121
root:Host-associated:Arthropoda:Digestive system:Hindgut,Hindgut,root:Host-associated:Arthropoda:Digestive system,101
root:Engineered:Biogas plant:Wet fermentation,Wet fermentation,root:Engineered:Biogas plant,91
root:Host-associated:Human:Digestive system:Oral:Saliva,Saliva,root:Host-associated:Human:Digestive system:Oral,86
root:Environmental:Aquatic:Marine:Oceanic,Oceanic,root:Environmental:Aquatic:Marine,80
root:Engineered:Biogas plant,Biogas plant,root:Engineered,77
root:Environmental:Terrestrial:Soil,Soil,root:Environmental:Terrestrial,75
root:Environmental:Aquatic:Marine,Marine,root:Environmental:Aquatic,66
root:Host-associated:Birds:Digestive system:Ceca,Ceca,root:Host-associated:Birds:Digestive system,66
root:Host-associated:Mammals:Digestive system:Stomach:Rumen,Rumen,root:Host-associated:Mammals:Digestive system:Stomach,50
root:Environmental:Aquatic:Marine:Intertidal zone:Estuary,Estuary,root:Environmental:Aquatic:Marine:Intertidal zone,47
root:Host-associated:Mammals:Gastrointestinal tract:Intestine:Fecal,Fecal,root:Host-associated:Mammals:Gastrointestinal tract:Intestine,47
root:Host-associated:Human:Skin,Skin,root:Host-associated:Human,41
root:Host-associated:Mammals:Digestive system:Midgut,Midgut,root:Host-associated:Mammals:Digestive system,39
root:Host-associated:Birds:Digestive system,Digestive system,root:Host-associated:Birds,35
root:Host-associated:Human:Digestive system:Oral,Oral,root:Host-associated:Human:Digestive system,29
root:Environmental:Aquatic:Freshwater:Sediment,Sediment,root:Environmental:Aquatic:Freshwater,28
root:Engineered:Solid waste:Composting,Composting,root:Engineered:Solid waste,24
root:Engineered:Wastewater:Industrial wastewater,Industrial wastewater,root:Engineered:Wastewater,24
root:Environmental:Aquatic:Estuary:Sediment,Sediment,root:Environmental:Aquatic:Estuary,22
root:Environmental:Aquatic:Freshwater,Freshwater,root:Environmental:Aquatic,21
root:Host-associated:Plants:Rhizosphere,Rhizosphere,root:Host-associated:Plants,19
root:Environmental:Aquatic:Thermal springs:Hot (42-90C),Hot (42-90C),root:Environmental:Aquatic:Thermal springs,18
