ids,labels,parents,counts
root:Host-associated:Human:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Human:Digestive system:Large intestine,8411
root:Host-associated:Human:Digestive system,Digestive system,root:Host-associated:Human,2349
root:Host-associated:Human:Digestive system:Large intestine,Large intestine,root:Host-associated:Human:Digestive system,1076
root:Host-associated:Mammals:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Mammals:Digestive system:Large intestine,458
root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon,Sigmoid colon,root:Host-associated:Human:Digestive system:Large intestine,315
root:Host-associated:Mammals:Digestive system:Fecal,Fecal,root:Host-associated:Mammals:Digestive system,229
root:Host-associated:Human,Human,root:Host-associated,125
root:Mixed,Mixed,root,124
root:Host-associated:Birds:Digestive system:Digestive tube,Digestive tube,root:Host-associated:Birds:Digestive system,123
root:Engineered:Bioremediation:Terephthalate:Wastewater,Wastewater,root:Engineered:Bioremediation:Terephthalate,85
root:Engineered:Wastewater:Water and sludge,Water and sludge,root:Engineered:Wastewater,66
root:Host-associated:Birds,Birds,root:Host-associated,54
root:Host-associated:Mammals:Digestive system:Large intestine:Cecum,Cecum,root:Host-associated:Mammals:Digestive system:Large intestine,34
root:Host-associated:Mammals:Digestive system:Large intestine,Large intestine,root:Host-associated:Mammals:Digestive system,33
root:Host-associated:Mammals:Digestive system,Digestive system,root:Host-associated:Mammals,26
root:Host-associated:Birds:Digestive system:Digestive tube:Cecum,Cecum,root:Host-associated:Birds:Digestive system:Digestive tube,17
root:Engineered:Food production:Fermented beverages,Fermented beverages,root:Engineered:Food production,16
root:Host-associated:Birds:Digestive system:Ceca,Ceca,root:Host-associated:Birds:Digestive system,16
root:Engineered:Wastewater,Wastewater,root:Engineered,16
root:Host-associated:Mammals:Respiratory system,Respiratory system,root:Host-associated:Mammals,10
root:Host-associated:Arthropoda:Digestive system:Hindgut,Hindgut,root:Host-associated:Arthropoda:Digestive system,6
root:Engineered:Bioreactor,Bioreactor,root:Engineered,6
root:Environmental:Aquatic:Freshwater,Freshwater,root:Environmental:Aquatic,4
root:Host-associated:Mammals:Digestive system:Foregut:Rumen,Rumen,root:Host-associated:Mammals:Digestive system:Foregut,4
root:Engineered:Biogas plant:Wet fermentation,Wet fermentation,root:Engineered:Biogas plant,4
root:Engineered:Biogas plant,Biogas plant,root:Engineered,4
root:Host-associated:Human:Skin,Skin,root:Host-associated:Human,4
root:Host-associated:Human:Digestive system:Oral:Saliva,Saliva,root:Host-associated:Human:Digestive system:Oral,4
root:Engineered:Wastewater:Activated Sludge,Activated Sludge,root:Engineered:Wastewater,3
root:Environmental:Aquatic:Freshwater:Groundwater,Groundwater,root:Environmental:Aquatic:Freshwater,2
root:Host-associated:Birds:Digestive system,Digestive system,root:Host-associated:Birds,2
root:Engineered:Wastewater:Industrial wastewater,Industrial wastewater,root:Engineered:Wastewater,2
root:Environmental:Aquatic:Marine,Marine,root:Environmental:Aquatic,2
root:Engineered:Solid waste:Composting,Composting,root:Engineered:Solid waste,1
root,root,,1
root:Host-associated:Human:Digestive system:Oral,Oral,root:Host-associated:Human:Digestive system,1
root:Host-associated,Host-associated,root,0
root:Engineered:Bioremediation:Terephthalate,Terephthalate,root:Engineered:Bioremediation,0
root:Engineered:Bioremediation,Bioremediation,root:Engineered,0
root:Engineered,Engineered,root,0
root:Host-associated:Mammals,Mammals,root:Host-associated,0
root:Engineered:Food production,Food production,root:Engineered,0
root:Host-associated:Arthropoda:Digestive system,Digestive system,root:Host-associated:Arthropoda,0
root:Host-associated:Arthropoda,Arthropoda,root:Host-associated,0
root:Environmental:Aquatic,Aquatic,root:Environmental,0
root:Environmental,Environmental,root,0
root:Host-associated:Mammals:Digestive system:Foregut,Foregut,root:Host-associated:Mammals:Digestive system,0
root:Engineered:Solid waste,Solid waste,root:Engineered,0
