ids,labels,parents,counts
root:Environmental:Aquatic:Marine,Marine,root:Environmental:Aquatic,1451
root:Host-associated:Human:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Human:Digestive system:Large intestine,895
root:Host-associated:Human:Digestive system,Digestive system,root:Host-associated:Human,231
root:Host-associated:Human:Digestive system:Large intestine,Large intestine,root:Host-associated:Human:Digestive system,136
root:Environmental:Aquatic:Marine:Oceanic,Oceanic,root:Environmental:Aquatic:Marine,67
root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon,Sigmoid colon,root:Host-associated:Human:Digestive system:Large intestine,50
root:Host-associated:Mammals:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Mammals:Digestive system:Large intestine,41
root:Environmental:Aquatic:Marine:Intertidal zone:Estuary,Estuary,root:Environmental:Aquatic:Marine:Intertidal zone,26
root:Environmental:Aquatic:Aquaculture,Aquaculture,root:Environmental:Aquatic,24
root:Host-associated:Human,Human,root:Host-associated,18
root:Host-associated:Mammals:Digestive system:Fecal,Fecal,root:Host-associated:Mammals:Digestive system,17
root:Engineered:Bioremediation:Terephthalate:Wastewater,Wastewater,root:Engineered:Bioremediation:Terephthalate,15
root:Environmental:Aquatic:Marine:Pelagic,Pelagic,root:Environmental:Aquatic:Marine,12
root:Environmental:Aquatic:Marine:Coastal,Coastal,root:Environmental:Aquatic:Marine,10
root:Mixed,Mixed,root,8
root:Engineered:Bioreactor,Bioreactor,root:Engineered,7
root:Environmental:Aquatic:Marine:Marginal Sea,Marginal Sea,root:Environmental:Aquatic:Marine,7
root:Host-associated:Birds:Digestive system:Digestive tube,Digestive tube,root:Host-associated:Birds:Digestive system,7
root:Host-associated:Birds,Birds,root:Host-associated,6
root:Environmental:Aquatic:Estuary:Sediment,Sediment,root:Environmental:Aquatic:Estuary,4
root:Host-associated:Mammals:Digestive system:Large intestine,Large intestine,root:Host-associated:Mammals:Digestive system,4
root:Environmental:Aquatic:Estuary,Estuary,root:Environmental:Aquatic,4
root:Engineered:Wastewater,Wastewater,root:Engineered,3
root:Host-associated:Arthropoda:Digestive system:Hindgut,Hindgut,root:Host-associated:Arthropoda:Digestive system,3
root:Environmental:Aquatic:Marine:Brackish,Brackish,root:Environmental:Aquatic:Marine,3
root:Engineered:Food production:Fermented beverages,Fermented beverages,root:Engineered:Food production,2
root:Engineered:Lab enrichment:Defined media:Marine media,Marine media,root:Engineered:Lab enrichment:Defined media,2
root:Environmental:Aquatic:Freshwater:Groundwater,Groundwater,root:Environmental:Aquatic:Freshwater,1
root:Environmental:Aquatic:Freshwater:Lake,Lake,root:Environmental:Aquatic:Freshwater,1
root:Host-associated:Human:Skin,Skin,root:Host-associated:Human,1
root:Environmental:Terrestrial:Soil:Oil-contaminated,Oil-contaminated,root:Environmental:Terrestrial:Soil,1
root:Environmental:Aquatic:Freshwater:Sediment,Sediment,root:Environmental:Aquatic:Freshwater,1
root:Engineered:Biogas plant:Wet fermentation,Wet fermentation,root:Engineered:Biogas plant,1
root:Engineered:Solid waste:Composting,Composting,root:Engineered:Solid waste,1
root:Host-associated:Mammals:Digestive system,Digestive system,root:Host-associated:Mammals,1
root:Engineered:Wastewater:Activated Sludge,Activated Sludge,root:Engineered:Wastewater,1
root:Engineered:Biogas plant,Biogas plant,root:Engineered,1
root:Environmental:Aquatic:Sediment,Sediment,root:Environmental:Aquatic,1
root:Host-associated:Birds:Digestive system:Digestive tube:Cecum,Cecum,root:Host-associated:Birds:Digestive system:Digestive tube,1
root,root,,1
root:Environmental:Aquatic:Marine:Intertidal zone:Coral reef,Coral reef,root:Environmental:Aquatic:Marine:Intertidal zone,1
root:Environmental:Aquatic:Thermal springs:Hot (42-90C),Hot (42-90C),root:Environmental:Aquatic:Thermal springs,1
root:Environmental:Aquatic,Aquatic,root:Environmental,0
root:Environmental,Environmental,root,0
root:Environmental:Aquatic:Marine:Intertidal zone,Intertidal zone,root:Environmental:Aquatic:Marine,0
root:Host-associated,Host-associated,root,0
root:Engineered:Bioremediation:Terephthalate,Terephthalate,root:Engineered:Bioremediation,0
root:Engineered:Bioremediation,Bioremediation,root:Engineered,0
root:Engineered,Engineered,root,0
root:Host-associated:Birds:Digestive system,Digestive system,root:Host-associated:Birds,0
root:Host-associated:Arthropoda:Digestive system,Digestive system,root:Host-associated:Arthropoda,0
root:Host-associated:Arthropoda,Arthropoda,root:Host-associated,0
root:Engineered:Food production,Food production,root:Engineered,0
root:Engineered:Lab enrichment:Defined media,Defined media,root:Engineered:Lab enrichment,0
root:Engineered:Lab enrichment,Lab enrichment,root:Engineered,0
root:Environmental:Aquatic:Freshwater,Freshwater,root:Environmental:Aquatic,0
root:Environmental:Terrestrial:Soil,Soil,root:Environmental:Terrestrial,0
root:Environmental:Terrestrial,Terrestrial,root:Environmental,0
root:Engineered:Solid waste,Solid waste,root:Engineered,0
root:Host-associated:Mammals,Mammals,root:Host-associated,0
root:Environmental:Aquatic:Thermal springs,Thermal springs,root:Environmental:Aquatic,0
