ids,labels,parents,counts
root:Host-associated:Human:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Human:Digestive system:Large intestine,37352
root:Host-associated:Human:Digestive system,Digestive system,root:Host-associated:Human,10525
root:Host-associated:Human:Digestive system:Large intestine,Large intestine,root:Host-associated:Human:Digestive system,5065
root:Host-associated:Mammals:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Mammals:Digestive system:Large intestine,2472
root:Mixed,Mixed,root,2294
root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon,Sigmoid colon,root:Host-associated:Human:Digestive system:Large intestine,1704
root:Host-associated:Mammals:Digestive system:Fecal,Fecal,root:Host-associated:Mammals:Digestive system,1418
root:Host-associated:Birds:Digestive system:Digestive tube,Digestive tube,root:Host-associated:Birds:Digestive system,914
root:Engineered:Bioremediation:Terephthalate:Wastewater,Wastewater,root:Engineered:Bioremediation:Terephthalate,791
root:Host-associated:Human,Human,root:Host-associated,668
root:Engineered:Wastewater:Water and sludge,Water and sludge,root:Engineered:Wastewater,631
root:Engineered:Wastewater:Activated Sludge,Activated Sludge,root:Engineered:Wastewater,620
root:Engineered:Wastewater,Wastewater,root:Engineered,556
root:Engineered:Bioreactor,Bioreactor,root:Engineered,510
root:Environmental:Aquatic:Freshwater:Groundwater,Groundwater,root:Environmental:Aquatic:Freshwater,450
root:Environmental:Terrestrial:Soil,Soil,root:Environmental:Terrestrial,440
root:Host-associated:Birds,Birds,root:Host-associated,404
root:Host-associated:Mammals:Digestive system,Digestive system,root:Host-associated:Mammals,403
root:Host-associated:Mammals:Digestive system:Foregut:Rumen,Rumen,root:Host-associated:Mammals:Digestive system:Foregut,379
root:Environmental:Aquatic:Marine,Marine,root:Environmental:Aquatic,342
root:Engineered:Food production:Fermented beverages,Fermented beverages,root:Engineered:Food production,301
root:Host-associated:Human:Skin,Skin,root:Host-associated:Human,262
root:Host-associated:Mammals:Digestive system:Large intestine:Cecum,Cecum,root:Host-associated:Mammals:Digestive system:Large intestine,254
root:Environmental:Aquatic:Marine:Oceanic,Oceanic,root:Environmental:Aquatic:Marine,206
root:Host-associated:Human:Digestive system:Oral:Saliva,Saliva,root:Host-associated:Human:Digestive system:Oral,193
root:Environmental:Aquatic:Freshwater,Freshwater,root:Environmental:Aquatic,171
root:Host-associated:Mammals:Digestive system:Large intestine,Large intestine,root:Host-associated:Mammals:Digestive system,166
root:Host-associated:Plants:Rhizosphere,Rhizosphere,root:Host-associated:Plants,137
