ids,labels,parents,counts
root:Host-associated:Human:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Human:Digestive system:Large intestine,1404
root:Host-associated:Human:Digestive system,Digestive system,root:Host-associated:Human,416
root:Host-associated:Human:Digestive system:Large intestine,Large intestine,root:Host-associated:Human:Digestive system,219
root:Mixed,Mixed,root,163
root:Host-associated:Mammals:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Mammals:Digestive system:Large intestine,128
root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon,Sigmoid colon,root:Host-associated:Human:Digestive system:Large intestine,68
root:Host-associated:Birds:Digestive system:Digestive tube,Digestive tube,root:Host-associated:Birds:Digestive system,41
root:Host-associated:Mammals:Digestive system:Fecal,Fecal,root:Host-associated:Mammals:Digestive system,21
root:Engineered:Bioremediation:Terephthalate:Wastewater,Wastewater,root:Engineered:Bioremediation:Terephthalate,15
root:Host-associated:Human,Human,root:Host-associated,14
root:Host-associated:Birds:Digestive system,Digestive system,root:Host-associated:Birds,10
root:Engineered:Wastewater:Water and sludge,Water and sludge,root:Engineered:Wastewater,9
root:Host-associated:Birds,Birds,root:Host-associated,7
root:Host-associated:Birds:Digestive system:Digestive tube:Cecum,Cecum,root:Host-associated:Birds:Digestive system:Digestive tube,7
root:Host-associated:Mammals:Digestive system,Digestive system,root:Host-associated:Mammals,2
root:Host-associated:Mammals:Digestive system:Midgut,Midgut,root:Host-associated:Mammals:Digestive system,1
root:Engineered:Wastewater:Activated Sludge,Activated Sludge,root:Engineered:Wastewater,1
root:Host-associated:Birds:Digestive system:Ceca,Ceca,root:Host-associated:Birds:Digestive system,1
root,root,,0
root,root,,0
root:Host-associated:Mammals:Digestive system:Large intestine,Large intestine,root:Host-associated:Mammals:Digestive system,0
root:Engineered:Bioremediation:Terephthalate,Terephthalate,root:Engineered:Bioremediation,0
root:Engineered:Bioremediation,Bioremediation,root:Engineered,0
root:Engineered,Engineered,root,0
root:Host-associated,Host-associated,root,0
root:Engineered:Wastewater,Wastewater,root:Engineered,0
root:Host-associated:Mammals,Mammals,root:Host-associated,0
