ids,labels,parents,counts
root:Host-associated:Human:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Human:Digestive system:Large intestine,18509
root:Host-associated:Human:Digestive system,Digestive system,root:Host-associated:Human,6418
root:Mixed,Mixed,root,3739
root:Environmental:Aquatic:Marine,Marine,root:Environmental:Aquatic,2843
root:Host-associated:Human:Digestive system:Large intestine,Large intestine,root:Host-associated:Human:Digestive system,2506
root:Environmental:Aquatic:Marine:Oceanic,Oceanic,root:Environmental:Aquatic:Marine,2037
root:Engineered:Bioreactor,Bioreactor,root:Engineered,1918
root:Environmental:Aquatic:Freshwater:Groundwater,Groundwater,root:Environmental:Aquatic:Freshwater,1529
root:Engineered:Wastewater:Activated Sludge,Activated Sludge,root:Engineered:Wastewater,1520
root:Host-associated:Mammals:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Mammals:Digestive system:Large intestine,1399
root:Engineered:Wastewater:Water and sludge,Water and sludge,root:Engineered:Wastewater,1081
root:Engineered:Wastewater,Wastewater,root:Engineered,1020
root:Engineered:Bioremediation:Terephthalate:Wastewater,Wastewater,root:Engineered:Bioremediation:Terephthalate,1006
root:Host-associated:Human:Skin,Skin,root:Host-associated:Human,906
root:Host-associated:Mammals:Digestive system:Fecal,Fecal,root:Host-associated:Mammals:Digestive system,890
root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon,Sigmoid colon,root:Host-associated:Human:Digestive system:Large intestine,872
root:Host-associated:Birds:Digestive system:Digestive tube,Digestive tube,root:Host-associated:Birds:Digestive system,804
root:Host-associated:Plants:Rhizosphere,Rhizosphere,root:Host-associated:Plants,691
root:Environmental:Aquatic:Estuary:Sediment,Sediment,root:Environmental:Aquatic:Estuary,591
root:Environmental:Terrestrial:Soil,Soil,root:Environmental:Terrestrial,585
root:Environmental:Aquatic:Freshwater:Lentic,Lentic,root:Environmental:Aquatic:Freshwater,488
root:Engineered:Solid waste:Composting,Composting,root:Engineered:Solid waste,471
root:Engineered:Food production:Fermented beverages,Fermented beverages,root:Engineered:Food production,461
root:Environmental:Aquatic:Thermal springs:Hot (42-90C),Hot (42-90C),root:Environmental:Aquatic:Thermal springs,429
root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline:Microbial mats,Microbial mats,root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline,425
