ids,labels,parents,counts
root:Host-associated:Human:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Human:Digestive system:Large intestine,6744
root:Host-associated:Human:Digestive system,Digestive system,root:Host-associated:Human,1992
root:Mixed,Mixed,root,1351
root:Host-associated:Human:Digestive system:Large intestine,Large intestine,root:Host-associated:Human:Digestive system,865
root:Host-associated:Mammals:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Mammals:Digestive system:Large intestine,570
root:Host-associated:Mammals:Digestive system:Fecal,Fecal,root:Host-associated:Mammals:Digestive system,402
root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon,Sigmoid colon,root:Host-associated:Human:Digestive system:Large intestine,313
root:Host-associated:Birds:Digestive system:Digestive tube,Digestive tube,root:Host-associated:Birds:Digestive system,277
root:Host-associated:Mammals:Digestive system:Foregut:Rumen,Rumen,root:Host-associated:Mammals:Digestive system:Foregut,151
root:Host-associated:Mammals:Digestive system,Digestive system,root:Host-associated:Mammals,147
root:Engineered:Wastewater:Water and sludge,Water and sludge,root:Engineered:Wastewater,144
root:Host-associated:Mammals:Digestive system:Large intestine:Cecum,Cecum,root:Host-associated:Mammals:Digestive system:Large intestine,116
root:Engineered:Bioreactor,Bioreactor,root:Engineered,98
root:Engineered:Bioremediation:Terephthalate:Wastewater,Wastewater,root:Engineered:Bioremediation:Terephthalate,98
root:Host-associated:Birds,Birds,root:Host-associated,94
root:Host-associated:Human,Human,root:Host-associated,91
root:Host-associated:Mammals:Digestive system:Large intestine,Large intestine,root:Host-associated:Mammals:Digestive system,77
root:Engineered:Food production:Fermented beverages,Fermented beverages,root:Engineered:Food production,65
root:Host-associated:Birds:Digestive system:Digestive tube:Cecum,Cecum,root:Host-associated:Birds:Digestive system:Digestive tube,62
root:Host-associated:Human:Digestive system:Oral:Saliva,Saliva,root:Host-associated:Human:Digestive system:Oral,60
root:Engineered:Wastewater:Activated Sludge,Activated Sludge,root:Engineered:Wastewater,54
root:Engineered:Solid waste:Composting,Composting,root:Engineered:Solid waste,52
root:Host-associated:Mammals:Respiratory system,Respiratory system,root:Host-associated:Mammals,51
root:Engineered:Biogas plant:Wet fermentation,Wet fermentation,root:Engineered:Biogas plant,51
root:Engineered:Biogas plant,Biogas plant,root:Engineered,50
root:Engineered:Food production:Dairy products,Dairy products,root:Engineered:Food production,42
root:Engineered:Wastewater,Wastewater,root:Engineered,33
root:Host-associated:Human:Skin,Skin,root:Host-associated:Human,31
root:Host-associated:Plants,Plants,root:Host-associated,19
root:Host-associated:Birds:Digestive system,Digestive system,root:Host-associated:Birds,17
root:Engineered:Food production:Fermented vegetables,Fermented vegetables,root:Engineered:Food production,17
root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline:Microbial mats,Microbial mats,root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline,16
root:Host-associated:Mammals:Digestive system:Midgut,Midgut,root:Host-associated:Mammals:Digestive system,14
root:Environmental:Aquatic:Marine,Marine,root:Environmental:Aquatic,13
root:Host-associated:Birds:Digestive system:Ceca,Ceca,root:Host-associated:Birds:Digestive system,12
root:Environmental:Aquatic:Marine:Oceanic,Oceanic,root:Environmental:Aquatic:Marine,11
root:Environmental:Aquatic:Freshwater:Sediment,Sediment,root:Environmental:Aquatic:Freshwater,10
root:Environmental:Aquatic:Estuary,Estuary,root:Environmental:Aquatic,10
root:Host-associated:Insecta:Digestive system,Digestive system,root:Host-associated:Insecta,10
root:Engineered:Solid waste:Landfill,Landfill,root:Engineered:Solid waste,8
root:Engineered:Food production,Food production,root:Engineered,8
root:Host-associated:Arthropoda:Digestive system:Hindgut,Hindgut,root:Host-associated:Arthropoda:Digestive system,8
root:Environmental:Aquatic:Thermal springs:Hot (42-90C),Hot (42-90C),root:Environmental:Aquatic:Thermal springs,8
root:Host-associated:Human:Digestive system:Oral,Oral,root:Host-associated:Human:Digestive system,7
root:Engineered:Lab enrichment:Defined media,Defined media,root:Engineered:Lab enrichment,6
root:Environmental:Aquatic:Freshwater,Freshwater,root:Environmental:Aquatic,6
root:Host-associated:Mammals:Digestive system:Stomach:Rumen,Rumen,root:Host-associated:Mammals:Digestive system:Stomach,6
root:Environmental:Aquatic:Freshwater:Lotic:Sediment,Sediment,root:Environmental:Aquatic:Freshwater:Lotic,5
root:Environmental:Aquatic:Non-marine Saline and Alkaline:Alkaline:Sediment,Sediment,root:Environmental:Aquatic:Non-marine Saline and Alkaline:Alkaline,4
root:Host-associated:Human:Skin:Naris,Naris,root:Host-associated:Human:Skin,4
root:Environmental:Aquatic:Marine:Intertidal zone:Estuary,Estuary,root:Environmental:Aquatic:Marine:Intertidal zone,4
root:Environmental:Aquatic:Freshwater:Ice:Glacier,Glacier,root:Environmental:Aquatic:Freshwater:Ice,3
root:Environmental:Aquatic:Estuary:Sediment,Sediment,root:Environmental:Aquatic:Estuary,3
root:Environmental:Aquatic:Non-marine Saline and Alkaline,Non-marine Saline and Alkaline,root:Environmental:Aquatic,3
root:Engineered:Wastewater:Industrial wastewater,Industrial wastewater,root:Engineered:Wastewater,3
root:Environmental:Aquatic,Aquatic,root:Environmental,3
root:Host-associated:Mammals:Gastrointestinal tract:Intestine:Fecal,Fecal,root:Host-associated:Mammals:Gastrointestinal tract:Intestine,3
root:Environmental:Aquatic:Freshwater:Groundwater,Groundwater,root:Environmental:Aquatic:Freshwater,3
root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline,Saline,root:Environmental:Aquatic:Non-marine Saline and Alkaline,2
root:Engineered:Bioreactor:Continuous culture:Marine sediment inoculum:Wadden Sea-Germany,Wadden Sea-Germany,root:Engineered:Bioreactor:Continuous culture:Marine sediment inoculum,2
root:Environmental:Aquatic:Marine:Intertidal zone:Oil-contaminated,Oil-contaminated,root:Environmental:Aquatic:Marine:Intertidal zone,2
root:Environmental:Terrestrial:Soil:Wetlands,Wetlands,root:Environmental:Terrestrial:Soil,2
root:Environmental:Aquatic:Thermal springs,Thermal springs,root:Environmental:Aquatic,2
root:Host-associated:Algae:Red algae,Red algae,root:Host-associated:Algae,2
root:Engineered:Bioreactor:Continuous culture:Marine intertidal flat sediment inoculum:Wadden Sea-Germany,Wadden Sea-Germany,root:Engineered:Bioreactor:Continuous culture:Marine intertidal flat sediment inoculum,2
root:Host-associated:Birds:Digestive system:Crop:Lumen,Lumen,root:Host-associated:Birds:Digestive system:Crop,2
root:Engineered,Engineered,root,1
root:Environmental:Aquatic:Marine:Intertidal zone:Salt marsh,Salt marsh,root:Environmental:Aquatic:Marine:Intertidal zone,1
root:Environmental:Aquatic:Freshwater:Pond:Sediment,Sediment,root:Environmental:Aquatic:Freshwater:Pond,1
root:Environmental:Aquatic:Freshwater:Lentic,Lentic,root:Environmental:Aquatic:Freshwater,1
root:Host-associated:Plants:Rhizosphere,Rhizosphere,root:Host-associated:Plants,1
root:Host-associated:Human:Digestive system:Intestine,Intestine,root:Host-associated:Human:Digestive system,1
root:Environmental:Aquatic:Marine:Brackish,Brackish,root:Environmental:Aquatic:Marine,1
root:Environmental:Aquatic:Marine:Intertidal zone:Sediment,Sediment,root:Environmental:Aquatic:Marine:Intertidal zone,1
root:Engineered:Built environment,Built environment,root:Engineered,1
root:Environmental:Terrestrial:Soil:Contaminated,Contaminated,root:Environmental:Terrestrial:Soil,1
root:Environmental:Aquatic:Freshwater:Lentic:Sediment,Sediment,root:Environmental:Aquatic:Freshwater:Lentic,1
root:Environmental:Terrestrial:Soil:Permafrost,Permafrost,root:Environmental:Terrestrial:Soil,1
root,root,,0
root:Host-associated:Mammals:Digestive system:Foregut,Foregut,root:Host-associated:Mammals:Digestive system,0
root:Host-associated:Mammals,Mammals,root:Host-associated,0
root:Host-associated,Host-associated,root,0
root:Engineered:Bioremediation:Terephthalate,Terephthalate,root:Engineered:Bioremediation,0
root:Engineered:Bioremediation,Bioremediation,root:Engineered,0
root:Engineered:Solid waste,Solid waste,root:Engineered,0
root:Host-associated:Insecta,Insecta,root:Host-associated,0
root:Host-associated:Arthropoda:Digestive system,Digestive system,root:Host-associated:Arthropoda,0
root:Host-associated:Arthropoda,Arthropoda,root:Host-associated,0
root:Engineered:Lab enrichment,Lab enrichment,root:Engineered,0
root:Host-associated:Mammals:Digestive system:Stomach,Stomach,root:Host-associated:Mammals:Digestive system,0
root:Environmental:Aquatic:Freshwater:Lotic,Lotic,root:Environmental:Aquatic:Freshwater,0
root:Environmental:Aquatic:Non-marine Saline and Alkaline:Alkaline,Alkaline,root:Environmental:Aquatic:Non-marine Saline and Alkaline,0
root:Environmental:Aquatic:Marine:Intertidal zone,Intertidal zone,root:Environmental:Aquatic:Marine,0
root:Environmental:Aquatic:Freshwater:Ice,Ice,root:Environmental:Aquatic:Freshwater,0
root:Environmental,Environmental,root,0
root:Host-associated:Mammals:Gastrointestinal tract:Intestine,Intestine,root:Host-associated:Mammals:Gastrointestinal tract,0
root:Host-associated:Mammals:Gastrointestinal tract,Gastrointestinal tract,root:Host-associated:Mammals,0
root:Engineered:Bioreactor:Continuous culture:Marine sediment inoculum,Marine sediment inoculum,root:Engineered:Bioreactor:Continuous culture,0
root:Engineered:Bioreactor:Continuous culture,Continuous culture,root:Engineered:Bioreactor,0
root:Environmental:Terrestrial:Soil,Soil,root:Environmental:Terrestrial,0
root:Environmental:Terrestrial,Terrestrial,root:Environmental,0
root:Host-associated:Algae,Algae,root:Host-associated,0
root:Engineered:Bioreactor:Continuous culture:Marine intertidal flat sediment inoculum,Marine intertidal flat sediment inoculum,root:Engineered:Bioreactor:Continuous culture,0
root:Host-associated:Birds:Digestive system:Crop,Crop,root:Host-associated:Birds:Digestive system,0
root:Environmental:Aquatic:Freshwater:Pond,Pond,root:Environmental:Aquatic:Freshwater,0
