ids,labels,parents,counts
root:Host-associated:Human:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Human:Digestive system:Large intestine,23999
root:Host-associated:Human:Digestive system,Digestive system,root:Host-associated:Human,6985
root:Environmental:Aquatic:Marine,Marine,root:Environmental:Aquatic,6070
root:Mixed,Mixed,root,5885
root:Engineered:Wastewater:Activated Sludge,Activated Sludge,root:Engineered:Wastewater,5770
root:Environmental:Aquatic:Marine:Oceanic,Oceanic,root:Environmental:Aquatic:Marine,5610
root:Engineered:Bioreactor,Bioreactor,root:Engineered,5046
root:Host-associated:Human:Digestive system:Large intestine,Large intestine,root:Host-associated:Human:Digestive system,3762
root:Environmental:Terrestrial:Soil,Soil,root:Environmental:Terrestrial,2718
root:Host-associated:Plants:Rhizosphere,Rhizosphere,root:Host-associated:Plants,2588
root:Engineered:Wastewater,Wastewater,root:Engineered,2153
root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline:Microbial mats,Microbial mats,root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline,2083
root:Host-associated:Mammals:Digestive system:Foregut:Rumen,Rumen,root:Host-associated:Mammals:Digestive system:Foregut,1870
root:Environmental:Aquatic:Freshwater:Groundwater,Groundwater,root:Environmental:Aquatic:Freshwater,1657
root:Host-associated:Mammals:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Mammals:Digestive system:Large intestine,1570
root:Environmental:Aquatic:Estuary:Sediment,Sediment,root:Environmental:Aquatic:Estuary,1492
root:Environmental:Aquatic:Thermal springs:Hot (42-90C),Hot (42-90C),root:Environmental:Aquatic:Thermal springs,1402
root:Engineered:Wastewater:Water and sludge,Water and sludge,root:Engineered:Wastewater,1346
root:Environmental:Aquatic:Aquaculture,Aquaculture,root:Environmental:Aquatic,1333
root:Engineered:Bioremediation:Terephthalate:Wastewater,Wastewater,root:Engineered:Bioremediation:Terephthalate,1326
root:Environmental:Aquatic:Marine:Intertidal zone:Estuary,Estuary,root:Environmental:Aquatic:Marine:Intertidal zone,1316
root:Environmental:Aquatic:Freshwater:Sediment,Sediment,root:Environmental:Aquatic:Freshwater,1160
root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon,Sigmoid colon,root:Host-associated:Human:Digestive system:Large intestine,1075
root:Environmental:Aquatic:Freshwater:Lentic,Lentic,root:Environmental:Aquatic:Freshwater,1005
root:Host-associated:Mammals:Digestive system:Stomach:Rumen,Rumen,root:Host-associated:Mammals:Digestive system:Stomach,955
root:Host-associated:Mammals:Digestive system:Fecal,Fecal,root:Host-associated:Mammals:Digestive system,845
root:Host-associated:Mammals:Digestive system,Digestive system,root:Host-associated:Mammals,810
root:Environmental:Aquatic:Freshwater,Freshwater,root:Environmental:Aquatic,805
root:Engineered:Food production:Fermented beverages,Fermented beverages,root:Engineered:Food production,784
root:Host-associated:Algae:Red algae,Red algae,root:Host-associated:Algae,732
root:Host-associated:Human,Human,root:Host-associated,624
