ids,labels,parents,counts
root:Host-associated:Human:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Human:Digestive system:Large intestine,3125
root:Mixed,Mixed,root,2288
root:Host-associated:Human:Digestive system,Digestive system,root:Host-associated:Human,1137
root:Environmental:Aquatic:Marine:Oceanic,Oceanic,root:Environmental:Aquatic:Marine,1080
root:Environmental:Aquatic:Marine,Marine,root:Environmental:Aquatic,1053
root:Engineered:Wastewater:Activated Sludge,Activated Sludge,root:Engineered:Wastewater,969
root:Engineered:Bioreactor,Bioreactor,root:Engineered,723
root:Environmental:Aquatic:Freshwater:Groundwater,Groundwater,root:Environmental:Aquatic:Freshwater,572
root:Host-associated:Human:Digestive system:Large intestine,Large intestine,root:Host-associated:Human:Digestive system,534
root:Host-associated:Plants:Rhizosphere,Rhizosphere,root:Host-associated:Plants,443
root:Engineered:Wastewater:Water and sludge,Water and sludge,root:Engineered:Wastewater,432
root:Environmental:Aquatic:Estuary:Sediment,Sediment,root:Environmental:Aquatic:Estuary,352
root:Host-associated:Mammals:Digestive system:Foregut:Rumen,Rumen,root:Host-associated:Mammals:Digestive system:Foregut,330
root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline:Microbial mats,Microbial mats,root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline,325
root:Environmental:Terrestrial:Soil,Soil,root:Environmental:Terrestrial,303
root:Host-associated:Mammals:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Mammals:Digestive system:Large intestine,303
root:Engineered:Wastewater,Wastewater,root:Engineered,292
root:Environmental:Aquatic:Thermal springs:Hot (42-90C),Hot (42-90C),root:Environmental:Aquatic:Thermal springs,258
root:Environmental:Aquatic:Freshwater:Sediment,Sediment,root:Environmental:Aquatic:Freshwater,230
root:Environmental:Aquatic:Aquaculture,Aquaculture,root:Environmental:Aquatic,228
root:Environmental:Aquatic:Freshwater:Lentic,Lentic,root:Environmental:Aquatic:Freshwater,226
root:Environmental:Aquatic:Marine:Intertidal zone:Estuary,Estuary,root:Environmental:Aquatic:Marine:Intertidal zone,202
root:Engineered:Bioremediation:Terephthalate:Wastewater,Wastewater,root:Engineered:Bioremediation:Terephthalate,201
root:Host-associated:Mammals:Digestive system:Stomach:Rumen,Rumen,root:Host-associated:Mammals:Digestive system:Stomach,180
root:Host-associated:Mammals:Digestive system:Fecal,Fecal,root:Host-associated:Mammals:Digestive system,163
root:Host-associated:Mammals:Digestive system,Digestive system,root:Host-associated:Mammals,155
root:Environmental:Aquatic:Freshwater:Lotic:Sediment,Sediment,root:Environmental:Aquatic:Freshwater:Lotic,129
root:Host-associated:Birds:Digestive system:Digestive tube:Cecum,Cecum,root:Host-associated:Birds:Digestive system:Digestive tube,129
root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon,Sigmoid colon,root:Host-associated:Human:Digestive system:Large intestine,128
root:Engineered,Engineered,root,124
root:Engineered:Food production:Fermented beverages,Fermented beverages,root:Engineered:Food production,111
root:Engineered:Wastewater:Nutrient removal:Biological phosphorus removal:Activated sludge,Activated sludge,root:Engineered:Wastewater:Nutrient removal:Biological phosphorus removal,106
root:Environmental:Aquatic:Freshwater,Freshwater,root:Environmental:Aquatic,101
root:Environmental:Aquatic:Marine:Sediment,Sediment,root:Environmental:Aquatic:Marine,94
root:Host-associated:Algae:Red algae,Red algae,root:Host-associated:Algae,93
root:Engineered:Solid waste:Composting,Composting,root:Engineered:Solid waste,90
