ids,labels,parents,counts
root:Mixed,Mixed,root,3820
root:Environmental:Aquatic:Marine:Oceanic,Oceanic,root:Environmental:Aquatic:Marine,3609
root:Environmental:Aquatic:Marine,Marine,root:Environmental:Aquatic,2819
root:Host-associated:Human:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Human:Digestive system:Large intestine,2012
root:Host-associated:Human:Digestive system,Digestive system,root:Host-associated:Human,916
root:Environmental:Aquatic:Marine:Intertidal zone:Estuary,Estuary,root:Environmental:Aquatic:Marine:Intertidal zone,757
root:Environmental:Aquatic:Freshwater:Lentic,Lentic,root:Environmental:Aquatic:Freshwater,684
root:Engineered:Wastewater:Activated Sludge,Activated Sludge,root:Engineered:Wastewater,659
root:Host-associated:Plants:Rhizosphere,Rhizosphere,root:Host-associated:Plants,560
root:Engineered:Wastewater:Water and sludge,Water and sludge,root:Engineered:Wastewater,447
root:Engineered:Bioreactor,Bioreactor,root:Engineered,434
root:Host-associated:Mammals:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Mammals:Digestive system:Large intestine,399
root:Host-associated:Human:Digestive system:Large intestine,Large intestine,root:Host-associated:Human:Digestive system,388
root:Host-associated:Mammals:Digestive system:Foregut:Rumen,Rumen,root:Host-associated:Mammals:Digestive system:Foregut,378
root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline:Microbial mats,Microbial mats,root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline,378
root:Environmental:Aquatic:Aquaculture,Aquaculture,root:Environmental:Aquatic,358
root:Engineered:Bioremediation:Terephthalate:Wastewater,Wastewater,root:Engineered:Bioremediation:Terephthalate,344
root:Environmental:Aquatic:Freshwater:Groundwater,Groundwater,root:Environmental:Aquatic:Freshwater,317
root:Engineered:Wastewater,Wastewater,root:Engineered,306
root:Environmental:Aquatic:Estuary,Estuary,root:Environmental:Aquatic,279
root:Host-associated:Mammals:Digestive system:Stomach:Rumen,Rumen,root:Host-associated:Mammals:Digestive system:Stomach,236
root:Host-associated:Mammals:Digestive system:Fecal,Fecal,root:Host-associated:Mammals:Digestive system,223
root:Environmental:Aquatic:Estuary:Sediment,Sediment,root:Environmental:Aquatic:Estuary,220
root:Environmental:Aquatic:Thermal springs:Hot (42-90C),Hot (42-90C),root:Environmental:Aquatic:Thermal springs,199
root:Host-associated:Mammals:Digestive system,Digestive system,root:Host-associated:Mammals,191
root:Environmental:Aquatic:Freshwater:Sediment,Sediment,root:Environmental:Aquatic:Freshwater,166
root:Environmental:Aquatic:Freshwater,Freshwater,root:Environmental:Aquatic,138
root:Host-associated:Algae:Red algae,Red algae,root:Host-associated:Algae,119
root:Engineered:Food production:Fermented beverages,Fermented beverages,root:Engineered:Food production,119
root:Environmental:Aquatic:Marine:Oceanic:Oil-contaminated,Oil-contaminated,root:Environmental:Aquatic:Marine:Oceanic,109
root:Engineered,Engineered,root,104
root:Environmental:Terrestrial:Soil,Soil,root:Environmental:Terrestrial,100
root:Host-associated:Human:Digestive system:Oral:Saliva,Saliva,root:Host-associated:Human:Digestive system:Oral,99
root:Engineered:Solid waste:Composting,Composting,root:Engineered:Solid waste,94
root:Host-associated:Birds:Digestive system,Digestive system,root:Host-associated:Birds,86
root:Environmental:Aquatic:Marine:Intertidal zone:Salt marsh,Salt marsh,root:Environmental:Aquatic:Marine:Intertidal zone,86
root:Environmental:Aquatic:Freshwater:Ice:Glacier,Glacier,root:Environmental:Aquatic:Freshwater:Ice,81
