ids,labels,parents,counts
root:Host-associated:Human:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Human:Digestive system:Large intestine,41976
root:Host-associated:Human:Digestive system,Digestive system,root:Host-associated:Human,13735
root:Environmental:Aquatic:Marine:Oceanic,Oceanic,root:Environmental:Aquatic:Marine,10688
root:Environmental:Aquatic:Marine,Marine,root:Environmental:Aquatic,8126
root:Mixed,Mixed,root,7191
root:Host-associated:Human:Digestive system:Large intestine,Large intestine,root:Host-associated:Human:Digestive system,5231
root:Environmental:Aquatic:Freshwater:Groundwater,Groundwater,root:Environmental:Aquatic:Freshwater,4437
root:Engineered:Bioreactor,Bioreactor,root:Engineered,3417
root:Host-associated:Mammals:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Mammals:Digestive system:Large intestine,3271
root:Engineered:Wastewater:Activated Sludge,Activated Sludge,root:Engineered:Wastewater,3226
root:Environmental:Aquatic:Marine:Intertidal zone:Estuary,Estuary,root:Environmental:Aquatic:Marine:Intertidal zone,1958
root:Environmental:Terrestrial:Soil,Soil,root:Environmental:Terrestrial,1797
root:Host-associated:Mammals:Digestive system:Fecal,Fecal,root:Host-associated:Mammals:Digestive system,1748
root:Engineered:Bioremediation:Terephthalate:Wastewater,Wastewater,root:Engineered:Bioremediation:Terephthalate,1735
root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon,Sigmoid colon,root:Host-associated:Human:Digestive system:Large intestine,1734
root:Environmental:Aquatic:Estuary:Sediment,Sediment,root:Environmental:Aquatic:Estuary,1461
root:Engineered:Wastewater,Wastewater,root:Engineered,1403
root:Host-associated:Birds:Digestive system:Digestive tube,Digestive tube,root:Host-associated:Birds:Digestive system,1366
root:Environmental:Aquatic:Thermal springs:Hot (42-90C),Hot (42-90C),root:Environmental:Aquatic:Thermal springs,1360
root:Engineered:Wastewater:Water and sludge,Water and sludge,root:Engineered:Wastewater,1348
root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline:Microbial mats,Microbial mats,root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline,1307
root:Host-associated:Plants:Rhizosphere,Rhizosphere,root:Host-associated:Plants,1299
root:Host-associated:Human:Skin,Skin,root:Host-associated:Human,1037
root:Host-associated:Mammals:Digestive system,Digestive system,root:Host-associated:Mammals,940
root:Engineered:Food production:Fermented beverages,Fermented beverages,root:Engineered:Food production,902
