ids,labels,parents,counts
root:Host-associated:Human:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Human:Digestive system:Large intestine,8208
root:Host-associated:Human:Digestive system,Digestive system,root:Host-associated:Human,2574
root:Mixed,Mixed,root,1860
root:Host-associated:Human:Digestive system:Large intestine,Large intestine,root:Host-associated:Human:Digestive system,1148
root:Host-associated:Mammals:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Mammals:Digestive system:Large intestine,819
root:Host-associated:Birds:Digestive system:Digestive tube,Digestive tube,root:Host-associated:Birds:Digestive system,637
root:Host-associated:Mammals:Digestive system:Fecal,Fecal,root:Host-associated:Mammals:Digestive system,474
root:Host-associated:Mammals:Digestive system:Foregut:Rumen,Rumen,root:Host-associated:Mammals:Digestive system:Foregut,444
root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon,Sigmoid colon,root:Host-associated:Human:Digestive system:Large intestine,354
root:Host-associated:Mammals:Digestive system,Digestive system,root:Host-associated:Mammals,289
root:Host-associated:Birds,Birds,root:Host-associated,183
root:Engineered:Food production:Fermented beverages,Fermented beverages,root:Engineered:Food production,158
root:Engineered:Bioreactor,Bioreactor,root:Engineered,143
root:Host-associated:Human,Human,root:Host-associated,137
root:Engineered:Wastewater:Water and sludge,Water and sludge,root:Engineered:Wastewater,133
root:Engineered:Solid waste:Composting,Composting,root:Engineered:Solid waste,130
root:Host-associated:Mammals:Digestive system:Large intestine:Cecum,Cecum,root:Host-associated:Mammals:Digestive system:Large intestine,124
root:Engineered:Wastewater:Activated Sludge,Activated Sludge,root:Engineered:Wastewater,115
root:Engineered:Biogas plant:Wet fermentation,Wet fermentation,root:Engineered:Biogas plant,108
root:Host-associated:Birds:Digestive system:Digestive tube:Cecum,Cecum,root:Host-associated:Birds:Digestive system:Digestive tube,101
root:Host-associated:Human:Digestive system:Oral:Saliva,Saliva,root:Host-associated:Human:Digestive system:Oral,101
root:Engineered:Biogas plant,Biogas plant,root:Engineered,94
root:Host-associated:Mammals:Digestive system:Large intestine,Large intestine,root:Host-associated:Mammals:Digestive system,77
root:Host-associated:Mammals:Respiratory system,Respiratory system,root:Host-associated:Mammals,72
root:Engineered:Bioremediation:Terephthalate:Wastewater,Wastewater,root:Engineered:Bioremediation:Terephthalate,71
root:Host-associated:Mammals:Digestive system:Stomach:Rumen,Rumen,root:Host-associated:Mammals:Digestive system:Stomach,64
